Id,Role,Name,Squad,Price,MyRating,Mate,Regularness,FVM,Age,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,Pg18_19,Mv18_19,Mf18_19,ExpectedMf
2077,C,Pasalic,Atalanta,13,4.0,Ederson D.s.,3,30,28,32,5.95,6.41,33,6.24,7.56,25,6.08,7.0,35,6.15,6.88,33,5.89,6.45,6.39
5792,C,Ederson D.s.,Atalanta,12,2.8,Pasalic,4,20,24,34,5.94,6.0,15,6.17,6.47,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.09
22,C,De Roon,Atalanta,11,3.0,,5,18,32,34,6.1,6.26,30,5.95,6.13,35,6.07,6.06,35,5.97,6.06,35,6.01,6.1,6.17
5001,C,Miranchuk,Atalanta,9,3.4,,3,8,28,28,6.23,6.84,18,5.89,6.44,25,6.22,7.03,0,0.0,0.0,0,0.0,0.0,6.75
5995,C,De Ketelaere,Atalanta,9,2.0,Lookman,3,41,22,27,5.74,5.74,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.91
4870,C,Adopo,Atalanta,3,1.0,,1,4,23,4,5.88,5.75,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,6.29
2137,A,Scamacca,Atalanta,27,4.0,Muriel,4,220,24,0,0.0,0.0,32,6.22,7.61,26,6.17,7.08,0,0.0,0.0,0,0.0,0.0,7.37
4730,A,Lookman,Atalanta,24,4.6,De Ketelaere,4,155,27,30,6.47,7.92,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.93
6229,A,Toure' E.,Atalanta,15,3.0,,2,45,23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.79
507,A,Muriel,Atalanta,13,3.1,Scamacca,3,38,32,25,6.02,6.42,26,6.37,7.69,36,6.67,8.92,34,6.32,7.98,19,6.0,6.92,6.23
133,P,Skorupski,Bologna,10,2.7,,5,32,32,37,6.19,4.97,36,6.24,4.79,28,6.09,4.64,37,5.99,4.31,38,6.11,4.62,4.93
2722,P,Ravaglia F.,Bologna,1,1.0,,2,1,26,0,0.0,0.0,0,0.0,0.0,4,5.88,3.38,0,0.0,0.0,0,0.0,0.0,4.79
5822,P,Bagnolini,Bologna,1,1.0,,1,1,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.51
6066,D,Posch,Bologna,15,5.0,,5,46,26,30,6.12,6.68,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.7
6042,D,Lucumi',Bologna,7,1.7,,4,16,25,33,5.83,5.68,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.8
6148,D,Kristiansen,Bologna,7,4.0,,4,22,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.88
6202,D,Beukema,Bologna,6,4.0,,5,22,25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.16
2653,D,Lykogiannis,Bologna,5,2.4,,3,8,30,19,5.97,6.21,25,5.7,5.78,31,5.8,6.1,20,5.74,5.68,11,5.5,5.55,6.09
4945,D,Calafiori,Bologna,4,2.0,,2,7,21,0,0.0,0.0,4,5.62,5.62,3,6.0,5.5,1,6.5,6.5,0,0.0,0.0,5.81
4891,D,Soumaoro,Bologna,3,1.4,,2,5,31,23,6.0,5.89,27,5.83,5.57,20,5.82,5.88,8,5.88,6.12,0,0.0,0.0,5.8
2192,D,Bonifazi,Bologna,2,1.2,,2,3,27,13,5.73,5.65,17,5.65,5.41,30,5.88,5.8,17,5.56,5.85,27,5.94,6.13,6.12
6407,D,Corazza,Bologna,2,1.0,,1,1,24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.01
487,D,De Silvestri,Bologna,1,1.8,,1,3,35,13,5.92,5.96,31,5.94,6.18,29,5.71,5.86,29,5.77,5.73,32,6.0,6.29,5.68
5424,D,Amey,Bologna,1,1.0,,1,1,21,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.78
2167,C,Orsolini,Bologna,19,4.6,Saelemaekers,4,91,26,32,6.16,7.09,26,6.04,6.81,34,5.97,6.74,37,5.92,6.69,35,6.19,7.03,7.1
5858,C,Ferguson,Bologna,18,4.0,,5,71,24,31,6.24,6.85,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.9
5564,C,Ndoye,Bologna,12,3.0,Karlsson,3,25,23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.39
788,C,Freuler,Bologna,7,2.3,,5,15,31,0,0.0,0.0,29,5.93,5.83,34,6.3,6.52,31,6.05,6.23,35,6.16,6.33,6.32
6054,C,Moro N.,Bologna,7,2.7,Fabbian,4,12,20,25,6.04,6.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.41
5784,C,Aebischer,Bologna,6,2.0,,2,9,26,26,5.87,5.9,8,5.88,5.81,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.95
6206,C,Fabbian,Bologna,6,3.0,Moro N.,3,18,20,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.2
4892,C,Saelemaekers,Bologna,4,2.3,Orsolini,3,7,24,29,5.91,6.17,34,6.01,6.16,32,5.94,6.14,13,6.0,6.08,0,0.0,0.0,6.23
5425,C,Urbanski,Bologna,2,1.0,,2,2,20,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.12
6225,C,El Azzouzi,Bologna,1,1.0,,1,2,27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.35
5086,A,Zirkzee,Bologna,13,3.0,,5,71,22,18,6.06,6.44,0,0.0,0.0,4,5.5,5.5,0,0.0,0.0,0,0.0,0.0,6.69
6459,A,Karlsson,Bologna,11,2.0,Ndoye,4,25,25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.99
5446,A,Van Hooijdonk,Bologna,2,1.0,,3,5,23,0,0.0,0.0,1,6.0,6.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.69
3,P,Radunovic,Cagliari,8,2.0,,5,13,28,0,0.0,0.0,3,6.33,5.67,0,0.0,0.0,3,5.83,3.0,0,0.0,0.0,4.87
574,P,Scuffet,Cagliari,1,1.0,,1,1,27,0,0.0,0.0,0,0.0,0.0,1,5.0,3.0,0,0.0,0.0,9,6.11,4.67,4.8
1946,P,Aresti,Cagliari,1,1.0,,1,1,25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.77
4461,D,Zappa,Cagliari,6,1.9,,5,14,23,0,0.0,0.0,21,5.74,5.64,34,5.85,5.94,0,0.0,0.0,0,0.0,0.0,6.01
6230,D,Dossena,Cagliari,6,2.0,,5,7,25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.09
6231,D,Azzi,Cagliari,6,2.0,Sulemana I.,3,10,29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.13
6464,D,Wieteska,Cagliari,6,2.0,Hatzidiakos,4,7,26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.12
4421,D,Augello,Cagliari,5,2.8,,5,12,29,37,5.84,6.09,34,5.81,5.93,37,5.92,6.03,17,6.06,6.12,0,0.0,0.0,6.04
5701,D,Obert,Cagliari,5,1.0,,3,6,21,0,0.0,0.0,4,5.88,5.88,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.8
6438,D,Hatzidiakos,Cagliari,5,2.0,Wieteska,3,7,26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.12
418,D,Goldaniga,Cagliari,3,1.0,,2,3,30,0,0.0,0.0,11,5.64,5.5,25,5.85,5.73,13,5.59,5.68,29,5.57,5.6,6.06
5406,D,Di Pardo,Cagliari,3,1.0,,2,3,24,0,0.0,0.0,0,0.0,0.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.02
454,D,Capradossi,Cagliari,1,1.0,,1,1,27,0,0.0,0.0,0,0.0,0.0,1,6.5,6.5,0,0.0,0.0,0,0.0,0.0,6.11
1987,C,Jankto,Cagliari,8,2.8,,5,15,27,0,0.0,0.0,0,0.0,0.0,35,5.91,6.47,30,6.0,6.2,25,5.59,5.53,6.42
4514,C,Nandez,Cagliari,8,2.7,,5,21,28,0,0.0,0.0,20,6.02,6.02,32,6.09,6.23,35,6.27,6.33,0,0.0,0.0,6.44
65,C,Mancosu,Cagliari,6,3.6,,3,6,35,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,6.09,7.2,0,0.0,0.0,6.03
6218,C,Oristanio,Cagliari,5,2.0,Luvumbo,4,12,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.23
6232,C,Makoumbou,Cagliari,5,2.0,,5,8,25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.37
1871,C,Deiola,Cagliari,4,1.6,,3,5,28,0,0.0,0.0,31,5.82,6.16,24,5.65,5.58,11,5.8,6.05,20,5.74,5.65,6.36
6024,C,Sulemana I.,Cagliari,3,1.0,Azzi,4,4,20,13,5.92,5.77,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.13
2076,C,Rog,Cagliari,1,1.4,,1,1,28,0,0.0,0.0,8,5.81,5.94,14,5.96,5.89,30,6.1,6.07,9,6.07,6.29,6.34
440,C,Viola,Cagliari,1,3.6,,3,4,34,0,0.0,0.0,3,5.67,5.67,17,6.24,7.15,0,0.0,0.0,0,0.0,0.0,6.09
6424,C,Prati,Cagliari,1,1.0,,1,4,20,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.13
1939,A,Lapadula,Cagliari,14,2.9,,4,38,33,0,0.0,0.0,0,0.0,0.0,37,5.91,6.5,25,6.1,7.27,8,5.67,6.08,6.77
383,A,Petagna,Cagliari,12,2.8,Pavoletti,4,32,28,31,6.05,6.56,13,6.04,6.77,26,6.16,7.09,36,5.93,6.72,36,6.1,7.32,6.58
5311,A,Shomurodov,Cagliari,12,2.1,Luvumbo,4,22,28,17,5.76,5.97,20,6.1,6.72,31,6.17,6.98,0,0.0,0.0,0,0.0,0.0,7.13
5297,A,Luvumbo,Cagliari,9,1.0,Shomurodov,3,9,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.35
247,A,Pavoletti,Cagliari,4,2.1,Petagna,3,6,35,0,0.0,0.0,28,5.89,6.32,33,5.98,6.5,2,5.5,5.5,32,6.09,7.53,6.34
4360,P,Caprile,Empoli,6,2.0,Berisha,4,10,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.71
316,P,Berisha,Empoli,3,1.0,Caprile,3,5,34,0,0.0,0.0,10,6.1,5.55,0,0.0,0.0,26,6.31,4.6,18,5.97,4.56,4.72
673,P,Perisan,Empoli,1,1.0,,1,1,26,7,6.21,4.93,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.79
6234,P,Stubljar,Empoli,1,1.0,,1,1,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.51
5480,D,Ebuehi,Empoli,10,3.0,Bereszynski,4,17,28,25,6.06,6.46,17,5.59,5.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.41
5332,D,Bastoni S.,Empoli,8,4.3,Maleh,4,32,27,18,6.14,6.5,29,6.12,6.41,22,6.0,6.26,0,0.0,0.0,0,0.0,0.0,6.25
393,D,Luperto,Empoli,7,1.9,,5,10,27,36,5.93,6.01,22,5.75,5.61,23,5.41,5.3,9,5.64,5.5,12,5.65,5.65,6.03
770,D,Pezzella Giu.,Empoli,5,1.8,Cacace,4,5,26,14,5.71,5.71,16,5.97,6.0,24,6.04,6.19,23,5.71,5.66,9,5.2,4.9,6.11
5010,D,Ismajli,Empoli,5,1.8,,5,9,27,25,6.0,5.86,17,5.5,5.06,17,5.78,5.94,0,0.0,0.0,0,0.0,0.0,5.89
2104,D,Bereszynski,Empoli,3,1.1,Ebuehi,3,4,31,17,5.71,5.71,35,5.69,5.6,31,5.84,5.9,28,5.5,5.25,27,5.66,5.6,6.02
4374,D,Walukiewicz,Empoli,2,1.0,,2,4,23,9,5.89,5.89,6,5.67,5.58,19,5.5,5.53,14,5.64,5.61,0,0.0,0.0,5.96
5804,D,Cacace,Empoli,2,2.0,Pezzella Giu.,3,8,23,10,5.65,5.6,8,5.81,5.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.98
144,D,Tonelli,Empoli,1,1.2,,2,2,33,1,5.5,5.5,13,5.5,5.19,23,5.95,5.84,9,5.83,5.61,19,5.84,5.74,5.87
6056,D,Guarino,Empoli,1,1.0,,1,2,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.57
5823,C,Baldanzi,Empoli,14,4.0,,5,39,20,26,6.15,6.58,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.69
4965,C,Marin,Empoli,8,2.4,,5,14,27,32,5.98,6.2,36,5.9,5.96,37,5.99,6.28,0,0.0,0.0,0,0.0,0.0,6.2
4992,C,Gyasi,Empoli,7,2.1,,3,8,29,35,5.77,5.8,36,5.78,6.08,37,5.96,6.4,0,0.0,0.0,0,0.0,0.0,5.8
27,C,Grassi,Empoli,5,1.1,Fazzini,3,6,28,20,5.92,5.85,28,5.95,5.88,23,5.72,5.55,16,5.93,6.0,7,5.83,5.83,6.36
6010,C,Fazzini,Empoli,5,1.4,Grassi,4,10,20,15,5.9,5.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.16
4896,C,Maldini,Empoli,4,3.3,,3,9,22,15,6.07,6.43,3,6.33,7.17,5,0.0,0.0,2,6.0,6.0,0,0.0,0.0,6.27
5397,C,Kovalenko,Empoli,4,1.4,,3,7,27,13,5.92,5.88,22,5.86,6.07,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.38
5457,C,Maleh,Empoli,4,1.4,Bastoni S.,3,4,25,21,5.81,5.76,23,6.07,6.26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.35
5884,C,Ranocchia F.,Empoli,4,3.0,,2,6,22,12,6.17,6.42,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.26
6203,C,Belardinelli,Empoli,1,1.0,,1,3,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.24
2819,A,Caputo,Empoli,14,3.5,,5,52,36,36,5.88,6.44,38,6.0,6.88,25,6.12,7.65,36,6.32,8.31,38,6.08,7.14,6.1
4436,A,Cambiaghi,Empoli,12,3.3,,5,28,23,25,6.24,6.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.15
5500,A,Cancellieri,Empoli,5,1.0,,3,8,21,6,5.83,5.83,5,6.1,6.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.35
472,A,Destro,Empoli,2,2.6,,2,1,32,10,5.7,5.9,27,6.02,6.98,29,6.16,7.42,13,5.67,5.61,17,6.28,7.56,6.81
6395,A,Shpendi S.,Empoli,2,1.0,,1,1,20,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.14
6011,A,Ekong,Empoli,1,1.0,,1,1,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.33
2815,P,Terracciano,Fiorentina,10,2.0,Christensen O.,4,14,33,29,6.0,4.78,32,5.97,4.72,4,6.25,6.0,7,6.36,5.64,10,6.35,5.05,4.73
6403,P,Christensen O.,Fiorentina,2,2.0,Terracciano,3,16,24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.81
6184,P,Martinelli T.,Fiorentina,1,1.0,,1,1,17,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.38
252,D,Biraghi,Fiorentina,11,3.7,Parisi,4,24,31,32,6.05,6.19,37,5.96,6.11,35,5.91,6.03,25,5.98,6.43,36,5.89,6.0,6.09
2164,D,Milenkovic,Fiorentina,10,3.1,,5,26,26,27,5.94,6.06,34,5.87,5.81,34,5.84,5.97,37,6.18,6.46,34,5.93,6.06,6.12
5449,D,Parisi,Fiorentina,7,2.8,Biraghi,3,20,23,33,6.14,6.14,23,5.91,5.85,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.27
5885,D,Dodo',Fiorentina,7,2.7,,5,22,25,33,5.88,5.98,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.07
4210,D,Mina,Fiorentina,7,3.0,Ranieri L.,4,12,29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.14
4378,D,Ranieri L.,Fiorentina,5,1.7,Mina,3,12,24,8,6.25,6.19,27,5.7,5.65,0,0.0,0.0,3,5.5,5.17,0,0.0,0.0,6.06
5323,D,Martinez Quarta,Fiorentina,5,1.8,,2,7,27,27,5.94,5.98,18,5.81,5.75,21,5.87,5.87,0,0.0,0.0,0,0.0,0.0,6.0
6235,D,Kayode,Fiorentina,2,2.0,,2,8,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.6
6432,D,Pierozzi,Fiorentina,1,1.0,,1,2,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.88
367,C,Bonaventura,Fiorentina,15,3.9,,5,39,34,28,6.25,6.71,31,6.18,6.56,34,6.03,6.3,29,6.12,6.62,8,6.12,7.25,6.56
4658,C,Ikone',Fiorentina,12,3.4,,5,18,25,30,6.03,6.43,15,5.87,6.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.45
2172,C,Barak,Fiorentina,11,2.9,,3,14,29,28,5.82,5.96,29,6.31,7.48,34,6.09,6.69,24,5.89,6.18,8,5.4,5.4,5.95
1933,C,Mandragora,Fiorentina,10,2.4,Lopez M.,4,15,26,28,6.04,6.25,18,6.14,6.06,27,5.87,6.15,26,5.8,5.84,35,5.75,5.9,6.27
4377,C,Castrovilli,Fiorentina,9,3.1,,2,9,26,12,6.08,6.54,23,6.02,6.11,34,5.98,6.39,33,6.35,6.53,0,0.0,0.0,6.38
2839,C,Sottil,Fiorentina,8,2.7,,3,12,24,16,5.97,6.06,22,6.0,6.41,21,6.03,6.32,18,5.83,5.75,2,0.0,0.0,6.36
4285,C,Arthur Melo,Fiorentina,8,2.1,,5,18,27,0,0.0,0.0,15,5.93,5.83,22,6.02,6.1,0,0.0,0.0,0,0.0,0.0,6.43
5788,C,Sabiri,Fiorentina,8,1.9,,3,7,27,18,5.78,5.81,13,6.15,6.88,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.38
4681,C,Lopez M.,Fiorentina,7,2.2,Mandragora,3,22,26,30,5.93,5.75,34,6.09,6.1,29,5.86,5.95,0,0.0,0.0,0,0.0,0.0,5.82
526,C,Duncan,Fiorentina,6,2.3,,3,9,30,21,5.88,5.95,31,5.92,6.13,23,5.77,5.8,26,6.08,6.44,26,6.1,6.6,6.33
6393,C,Infantino,Fiorentina,4,2.0,,2,10,20,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.16
6236,C,Amatucci,Fiorentina,2,1.0,,1,1,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.05
5336,A,Nzola,Fiorentina,22,3.2,Beltran L.,4,81,27,31,6.19,7.39,16,5.88,6.28,25,6.22,7.56,0,0.0,0.0,0,0.0,0.0,7.41
4179,A,Gonzalez N.,Fiorentina,17,3.6,,5,95,25,22,6.11,6.86,33,6.35,7.11,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.06
6409,A,Beltran L.,Fiorentina,15,3.0,Nzola,3,61,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.67
4184,A,Brekalo,Fiorentina,11,2.7,,3,17,25,6,6.08,6.0,31,6.08,6.81,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.97
2762,A,Kouame',Fiorentina,8,2.0,,3,8,26,28,6.11,6.62,0,0.0,0.0,33,5.7,5.83,18,6.31,7.44,38,6.07,6.46,6.74
4867,P,Turati,Frosinone,5,1.0,,5,8,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,6.25,4.25,0,0.0,0.0,4.7
2294,P,Cerofolini,Frosinone,2,1.0,,1,1,24,5,6.1,5.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.74
2799,P,Frattali,Frosinone,1,1.0,,1,1,38,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.5,4.5,4.5
76,D,Romagnoli S.,Frosinone,6,2.3,,3,6,33,4,5.62,5.62,18,5.89,6.03,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.88
2252,D,Marchizza,Frosinone,6,1.2,,5,5,25,5,6.1,6.0,19,5.63,5.47,24,5.84,5.84,0,0.0,0.0,0,0.0,0.0,6.08
4952,D,Monterisi,Frosinone,5,1.0,,4,6,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,5.89
2006,D,Lirola,Frosinone,3,1.9,Oyono,3,5,26,0,0.0,0.0,0,0.0,0.0,12,5.91,5.86,35,5.83,5.83,35,5.99,6.21,6.11
6238,D,Oyono,Frosinone,2,2.0,Lirola,4,8,22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.9
4432,D,Okoli,Frosinone,1,1.4,,4,7,22,14,5.71,5.61,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.9
6411,D,Mateus Lusuardi,Frosinone,1,1.0,,2,1,19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.57
6430,D,Kalaj,Frosinone,1,1.0,,1,1,23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.95
5688,C,Harroui,Frosinone,8,3.0,,5,22,25,17,5.94,6.24,10,5.8,5.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.43
5093,C,Reinier,Frosinone,8,3.0,Caso,4,18,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.26
4947,C,Brescianini,Frosinone,6,1.0,,2,4,23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,6.0,6.0,0,0.0,0.0,6.29
1976,C,Mazzitelli,Frosinone,5,1.0,,5,6,28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,10,5.72,5.56,6.36
2825,C,Bourabia,Frosinone,4,2.0,,4,8,32,37,5.91,6.0,8,6.06,6.38,15,5.86,6.09,17,5.68,5.47,32,5.82,5.77,5.93
694,C,Baez,Frosinone,4,1.0,Soule',3,6,28,2,5.75,5.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.36
2183,C,Garritano,Frosinone,3,1.0,,2,4,29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.34
6175,C,Barrenechea,Frosinone,3,1.0,,1,6,22,3,5.5,5.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.26
6241,C,Gelli,Frosinone,3,1.0,Reinier,3,1,27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.35
