Id,Role,Role_M,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg23_24,Mv23_24,Mf23_24,Pg19_20,Mv19_20,Mf19_20,Pg20_21,Mv20_21,Mf20_21,ExpectedMf
543,P,Por,Padelli,Udinese,1,39.0,3.6,,,1,0.0,0.0,0.0,3.0,6.17,3.5,0.0,0.0,0.0,3.0,5.33,4.0,1.0,6.0,5.0,5.34
673,P,Por,Perisan,Empoli,1,27.0,3.1,,,1,7.0,6.21,4.93,,,,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85
1926,P,Por,Di Gennaro,Inter,1,31.0,3.2,,,1,,,,,,,1.0,6.5,6.5,,,,,,,4.92
1930,P,Por,Pinsoglio,Juventus,1,34.0,3.3,,,1,0.0,0.0,0.0,1.0,6.5,5.5,1.0,6.5,6.5,1.0,6.0,6.0,1.0,6.0,5.0,5.03
2178,P,Por,Cragno,Monza,1,30.0,3.2,,,1,1.0,5.0,2.0,35.0,6.24,4.57,3.0,6.0,3.67,16.0,6.47,5.31,34.0,6.37,4.79,4.89
2297,P,Por,Rossi F.,Atalanta,1,29.0,3.2,,,1,0.0,0.0,0.0,1.0,6.0,5.0,1.0,6.5,6.5,1.0,6.0,5.0,0.0,0.0,0.0,4.87
2401,P,Por,Fruchtl,Lecce,1,,,,,1,,,,,,,,,,,,,,,,
2722,P,Por,Ravaglia F.,Bologna,1,27.0,3.1,,,1,0.0,0.0,0.0,,,,6.0,6.33,6.33,,,,4.0,5.88,3.38,4.85
2809,P,Por,Vigorito,Como,1,,,,,1,,,,,,,,,,5.0,5.9,4.0,,,,
2845,P,Por,Contini,Napoli,1,28.0,3.2,,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,,,,0.0,0.0,0.0,4.86
4270,P,Por,Rui Patricio,Atalanta,1,36.0,3.1,,,1,35.0,6.0,5.07,38.0,6.17,5.09,23.0,5.98,4.78,,,,,,,4.85
4351,P,Por,Brancolini,Empoli,1,23.0,3.2,,,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86
4491,P,Por,Berardi A.,Verona,1,33.0,3.3,,,1,0.0,0.0,0.0,1.0,6.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.99
4929,P,Por,Ciocci,Cagliari,1,,,,,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
5320,P,Por,Paleari,Torino,1,,,,,1,,,,,,,,,,,,,3.0,6.17,5.17,
5384,P,Por,Ryan,Roma,1,,,,,1,,,,,,,,,,,,,,,,
5521,P,Por,Bertinato,Venezia,1,,,,,1,,,,0.0,0.0,0.0,,,,,,,,,,
5822,P,Por,Bagnolini,Bologna,1,20.0,3.2,,,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,4.93
6184,P,Por,Martinelli T.,Fiorentina,1,18.0,3.3,,,1,0.0,0.0,0.0,,,,1.0,6.5,4.5,,,,,,,5.01
6248,P,Por,Stankovic F.,Venezia,1,,,,,1,,,,,,,0.0,0.0,0.0,,,,,,,
6403,P,Por,Christensen O.,Fiorentina,1,25.0,3.1,,,1,,,,,,,4.0,5.5,3.25,,,,,,,4.84
6417,P,Por,Furlanetto,Lazio,1,,,,,1,,,,,,,,,,,,,,,,
6482,P,Por,Mandas,Lazio,1,23.0,3.2,,,1,,,,,,,8.0,6.25,5.5,,,,,,,4.86
6505,P,Por,Nava,Milan,1,,,,,1,,,,,,,1.0,5.5,4.5,,,,,,,
6523,P,Por,Samooja,Lecce,1,,,,,1,,,,,,,0.0,0.0,0.0,,,,,,,
6650,P,Por,Sherri,Cagliari,1,,,,,1,,,,,,,,,,,,,,,,
6661,P,Por,Chichizola,Parma,1,,,,,1,,,,,,,,,,,,,,,,
6662,P,Por,Corvi,Parma,1,,,,,1,,,,,,,,,,,,,,,,
6671,P,Por,Grandi,Venezia,1,,,,,1,,,,,,,,,,,,,,,,
6813,P,Por,Torriani,Milan,1,,,,,1,,,,,,,,,,,,,,,,
6824,P,Por,Marin Re.,Roma,1,,,,,1,,,,,,,,,,,,,,,,
6842,P,Por,Sava,Udinese,1,,,,,1,,,,,,,,,,,,,,,,
254,D,E,Dimarco,Inter,24,27.0,5.0,,,101,33.0,6.21,6.7,25.0,6.12,6.34,30.0,6.48,7.18,8.0,6.0,5.94,35.0,6.14,6.57,7.16
4292,D,Ds;E,Hernandez T.,Milan,20,27.0,4.5,,,80,32.0,6.11,6.41,32.0,6.3,6.69,32.0,6.17,6.45,33.0,6.33,6.73,33.0,6.21,6.86,6.46
2816,D,B;Dd;E,Di Lorenzo,Napoli,18,31.0,4.3,,,72,37.0,6.26,6.58,33.0,6.2,6.36,36.0,6.07,6.21,33.0,5.88,6.17,36.0,5.97,6.15,6.26
2120,D,Dc,Bastoni,Inter,16,25.0,4.4,,,50,29.0,6.12,6.14,31.0,6.21,6.31,28.0,6.32,6.45,25.0,5.98,6.04,33.0,6.11,6.08,6.47
2724,D,Dc,Buongiorno,Napoli,16,25.0,4.5,,,57,34.0,6.12,6.15,18.0,5.86,5.81,29.0,6.31,6.5,0.0,0.0,0.0,12.0,5.67,5.5,6.55
2788,D,Dc,Bremer,Juventus,16,27.0,4.4,,,57,30.0,6.05,6.35,33.0,6.39,6.59,36.0,6.24,6.36,27.0,5.78,6.0,33.0,6.08,6.5,6.48
5513,D,E,Dumfries,Inter,16,28.0,4.3,,,45,34.0,5.91,6.0,32.0,6.22,6.77,30.0,6.1,6.53,,,,,,,6.46
4177,D,Dd;Dc,Pavard,Inter,14,28.0,4.0,,,40,,,,,,,21.0,6.29,6.24,,,,,,,6.19
1852,D,E,Spinazzola,Napoli,13,31.0,4.1,,,41,26.0,6.04,6.25,2.0,6.25,6.0,23.0,6.09,6.3,22.0,6.25,6.43,25.0,6.2,6.52,6.3
2160,D,E,Gosens,Fiorentina,13,,,,,41,25.0,5.96,6.3,11.0,6.14,6.36,0.0,0.0,0.0,33.0,6.39,7.38,32.0,6.27,7.28,
4237,D,B;Dd;Ds,Danilo,Juventus,13,33.0,3.8,,,29,37.0,6.2,6.46,21.0,6.14,6.24,28.0,6.09,6.11,22.0,5.77,5.95,34.0,6.29,6.41,6.08
4751,D,Dc,Tomori,Milan,13,27.0,4.2,,,41,33.0,6.08,6.09,31.0,6.29,6.23,25.0,6.0,6.32,,,,17.0,6.26,6.44,6.33
4887,D,E,Bellanova,Atalanta,13,24.0,4.3,,,45,11.0,6.0,6.0,31.0,5.82,5.9,36.0,6.14,6.35,1.0,6.0,6.0,0.0,0.0,0.0,6.39
5354,D,E,Ruggeri,Atalanta,12,22.0,4.1,,,42,10.0,5.85,5.8,13.0,5.85,5.81,33.0,5.97,6.08,,,,3.0,5.5,5.5,6.25
2296,D,Dc,Mancini,Roma,11,28.0,3.9,,,26,35.0,6.11,6.16,33.0,5.88,5.64,35.0,5.99,6.2,32.0,6.03,5.88,33.0,6.14,6.41,6.16
4409,D,Dc,Rrahmani,Napoli,11,30.0,3.8,,,26,28.0,6.14,6.36,33.0,6.27,6.56,30.0,5.93,6.15,36.0,5.94,5.9,14.0,6.14,6.29,6.14
4816,D,B;Dd;Ds,Emerson Royal,Milan,11,,,,,39,,,,,,,,,,,,,,,,
460,D,Dc,Romagnoli,Lazio,10,29.0,3.6,,,26,34.0,6.21,6.29,17.0,6.0,6.0,28.0,5.96,5.8,35.0,6.11,6.14,22.0,5.98,6.0,5.96
513,D,Dc,Acerbi,Inter,10,36.0,4.1,,,28,31.0,6.0,5.97,29.0,5.95,6.31,29.0,6.17,6.5,36.0,6.26,6.43,32.0,6.05,5.94,6.33
554,D,E,Zappacosta,Atalanta,10,32.0,3.8,,,30,21.0,6.12,6.64,31.0,6.08,6.24,31.0,5.92,6.06,9.0,5.72,5.83,25.0,6.22,6.72,6.1
5022,D,Dc,Pavlovic,Milan,10,,,,,29,,,,,,,,,,,,,,,,
5323,D,Dc,Martinez Quarta,Fiorentina,10,28.0,4.1,,,32,27.0,5.94,5.98,18.0,5.81,5.75,28.0,6.04,6.41,,,,19.0,5.87,5.87,6.31
5520,D,Dd;Ds;E,Cambiaso,Juventus,10,24.0,3.9,,,35,31.0,5.97,6.03,25.0,5.94,6.12,34.0,6.0,6.12,,,,,,,6.14
5578,D,Dd;Dc,Kossounou,Atalanta,10,,,,,26,,,,,,,,,,,,,,,,
393,D,Dc,Luperto,Cagliari,9,28.0,3.5,,,14,36.0,5.93,6.01,22.0,5.75,5.61,38.0,6.0,6.05,7.0,5.64,5.5,22.0,5.41,5.3,5.99
2525,D,B;Dd;E,Darmian,Inter,9,35.0,3.8,,,21,27.0,6.06,6.19,23.0,6.13,6.35,32.0,6.14,6.33,32.0,5.92,5.95,23.0,6.2,6.63,6.16
4284,D,E;M,Sergi Roberto,Como,9,,,,,18,,,,,,,,,,,,,,,,
4772,D,Ds;E,Angelino,Roma,9,,,,,27,,,,,,,16.0,5.94,5.88,,,,,,,
5514,D,Ds;Dc,Vasquez,Genoa,9,26.0,3.6,,,16,23.0,5.78,5.76,28.0,5.89,5.88,35.0,6.16,6.19,,,,,,,6.05
5847,D,Dc,Bijol,Udinese,9,25.0,3.6,,,20,32.0,5.88,6.03,,,,24.0,6.08,6.0,,,,,,,6.01
5877,D,E,Carlos Augusto,Inter,9,25.0,3.8,,,20,35.0,6.16,6.76,,,,35.0,6.14,6.21,,,,,,,6.15
5885,D,Dd;E,Dodo',Fiorentina,9,26.0,3.7,,,25,33.0,5.88,5.98,,,,6.0,5.75,5.75,,,,,,,6.07
252,D,B;Ds;E,Biraghi,Fiorentina,8,32.0,3.8,,,30,32.0,6.05,6.19,37.0,5.96,6.11,28.0,5.96,6.11,23.0,5.98,6.43,35.0,5.91,6.03,6.08
787,D,Dc,Djimsiti,Atalanta,8,31.0,3.5,,,18,22.0,5.91,5.89,29.0,5.86,5.84,36.0,5.94,5.92,34.0,6.07,6.21,33.0,6.09,6.03,5.96
2602,D,Dc,Varane,Como,8,,,,,15,,,,,,,,,,,,,,,,
2640,D,B;Ds;E,Kolasinac,Atalanta,8,31.0,3.7,,,21,,,,,,,29.0,6.03,6.07,,,,,,,6.04
4210,D,Dc,Mina,Cagliari,8,30.0,3.5,,,13,,,,,,,15.0,6.03,6.27,,,,,,,6.01
4317,D,Dc,N'Dicka,Roma,8,25.0,3.5,,,20,,,,,,,25.0,5.86,5.86,,,,,,,5.94
4734,D,Ds;E,Miranda J.,Bologna,8,,,,,16,,,,,,,,,,,,,,,,
5449,D,Ds;E,Parisi,Fiorentina,8,24.0,3.4,,,20,33.0,6.14,6.14,23.0,5.91,5.85,21.0,5.69,5.64,,,,,,,5.81
5498,D,Dc,Casale,Bologna,8,26.0,3.2,,,15,29.0,6.0,6.03,34.0,5.85,5.75,19.0,5.68,5.55,,,,,,,5.75
5603,D,Dc,Pongracic,Fiorentina,8,27.0,3.5,,,20,9.0,6.0,5.89,,,,36.0,5.94,5.81,,,,,,,5.92
5678,D,Dd;E,Holm,Bologna,8,27.0,3.7,,,24,18.0,6.06,6.17,0.0,0.0,0.0,18.0,5.94,6.08,,,,,,,6.04
5831,D,Dc,Gatti,Juventus,8,26.0,3.6,,,16,16.0,5.94,5.81,,,,32.0,5.97,6.11,,,,,,,6.03
5835,D,Dd;Dc,Baschirotto,Lecce,8,28.0,3.4,,,20,37.0,6.07,6.23,,,,37.0,5.76,5.72,,,,,,,5.84
5899,D,Dc,Gigot,Lazio,8,,,,,19,,,,,,,,,,,,,,,,
6046,D,Dc,Hien,Atalanta,8,25.0,3.5,,,21,32.0,5.94,5.8,,,,22.0,5.95,5.82,,,,,,,5.93
6066,D,Dd;Dc,Posch,Bologna,8,27.0,3.6,,,18,30.0,6.12,6.68,,,,30.0,6.1,6.15,,,,,,,6.05
6230,D,Dc,Dossena,Como,8,26.0,3.4,,,14,,,,,,,35.0,5.84,5.94,,,,,,,5.93
6257,D,Ds;E,Dorgu,Lecce,8,20.0,3.6,,,20,,,,,,,29.0,5.9,6.0,,,,,,,6.01
6642,D,Dc,Coco,Torino,8,,,,,22,,,,,,,,,,,,,,,,
322,D,Dc,De Vrij,Inter,7,32.0,3.8,,,18,25.0,5.94,5.98,28.0,5.8,5.68,22.0,6.27,6.41,34.0,6.29,6.6,32.0,6.22,6.28,6.2
791,D,Dd;Ds;E,Sabelli,Genoa,7,31.0,3.1,,,8,,,,7.0,5.71,5.5,31.0,5.92,5.87,36.0,5.89,5.85,,,,5.83
2285,D,Dc,Bani,Genoa,7,31.0,3.5,,,14,,,,17.0,6.0,5.97,27.0,6.02,6.07,27.0,5.96,6.19,25.0,5.68,5.48,6.0
4245,D,Dc,Smalling,Roma,7,35.0,3.5,,,12,32.0,6.31,6.52,25.0,6.18,6.46,6.0,5.83,5.83,30.0,6.05,6.35,14.0,5.93,5.89,6.05
4378,D,Ds;Dc,Ranieri L.,Fiorentina,7,25.0,3.4,,,15,8.0,6.25,6.19,27.0,5.7,5.65,25.0,5.86,5.88,3.0,5.5,5.17,,,,5.9
4530,D,Ds;E,Kyriakopoulos,Monza,7,28.0,3.4,,,13,21.0,6.05,6.21,25.0,5.88,5.92,27.0,5.87,5.93,23.0,6.0,6.0,21.0,5.79,5.86,5.9
4665,D,Dc,Maripan,Torino,7,,,,,15,,,,,,,,,,,,,,,,
4904,D,Dc,Mari',Monza,7,31.0,3.4,,,15,29.0,5.93,5.97,15.0,6.27,6.57,33.0,5.98,5.88,,,,,,,5.92
4982,D,Dc,Erlic,Bologna,7,26.0,3.4,,,17,27.0,5.7,5.59,30.0,5.95,6.07,32.0,5.77,5.78,,,,22.0,5.82,6.14,5.88
4994,D,B;Dd;E,Vojvoda,Torino,7,29.0,3.4,,,12,27.0,5.85,5.98,29.0,6.02,6.07,21.0,5.88,5.95,,,,19.0,5.71,6.03,5.95
5010,D,Dc,Ismajli,Empoli,7,28.0,3.1,,,9,25.0,6.0,5.86,17.0,5.5,5.06,25.0,5.72,5.68,,,,16.0,5.78,5.94,5.77
5324,D,B;Dd;Ds,Godfrey,Atalanta,7,,,,,15,,,,,,,,,,,,,,,,
5526,D,Dc,Scalvini,Atalanta,7,21.0,3.5,,,12,32.0,5.95,6.03,14.0,5.96,6.14,33.0,6.06,6.2,,,,,,,6.04
5527,D,Dd;E,Zanoli,Genoa,7,24.0,3.2,,,9,20.0,6.0,6.32,6.0,5.92,5.75,18.0,5.83,5.75,,,,,,,5.83
5840,D,B;Ds;E,Olivera,Napoli,7,27.0,3.5,,,18,24.0,6.02,6.27,,,,22.0,5.82,5.89,,,,,,,5.94
5862,D,Ds;E,Valeri,Parma,7,,,,,11,37.0,6.08,6.31,,,,15.0,5.6,5.57,,,,,,,
6202,D,Dc,Beukema,Bologna,7,26.0,3.5,,,16,,,,,,,30.0,6.02,6.02,,,,,,,5.99
6638,D,Dc,Marin R.,Napoli,7,,,,,18,,,,,,,,,,,,,,,,
6820,D,E,Sosa B.,Torino,7,,,,,17,,,,,,,,,,,,,,,,
49,D,B;Ds;E,Masina,Torino,6,30.0,3.5,,,12,11.0,5.91,6.36,,,,15.0,5.87,5.8,,,,,,,6.08
226,D,Dc,Izzo,Monza,6,32.0,3.2,,,11,29.0,6.03,5.97,9.0,5.83,5.61,20.0,5.82,5.62,31.0,5.79,5.74,25.0,5.96,6.14,5.76
357,D,Dd;E,Calabria,Milan,6,28.0,3.4,,,13,23.0,5.96,6.09,26.0,6.15,6.42,29.0,5.95,6.03,23.0,5.76,5.8,32.0,6.23,6.28,5.96
770,D,Ds;E,Pezzella Giu.,Empoli,6,27.0,3.3,,,7,14.0,5.71,5.71,16.0,5.97,6.0,15.0,5.63,5.5,19.0,5.71,5.66,24.0,6.04,6.19,6.0
2188,D,Dd;Ds;E,Marusic,Lazio,6,32.0,3.1,,,10,33.0,6.02,5.92,33.0,5.65,5.65,37.0,5.72,5.73,14.0,6.14,6.54,36.0,5.79,5.94,5.76
2263,D,Dd;E,Lazzari,Lazio,6,31.0,3.3,,,12,26.0,6.0,5.77,27.0,5.91,6.3,24.0,5.94,5.9,32.0,6.19,6.16,32.0,6.12,6.34,5.86
4433,D,Dd;Ds;E,Zortea,Cagliari,6,25.0,3.8,,,16,15.0,6.0,6.1,23.0,5.78,5.96,19.0,6.16,6.63,,,,,,,6.29
4461,D,B;Dd;E,Zappa,Cagliari,6,24.0,3.3,,,10,,,,21.0,5.74,5.64,37.0,5.8,5.91,,,,31.0,5.85,5.94,5.93
5435,D,Ds;E,Moreno Alb.,Como,6,,,,,17,,,,,,,,,,,,,,,,
5620,D,Ds;E,Tavares N.,Lazio,6,,,,,10,,,,,,,,,,,,,,,,
5718,D,Dc,Viti,Empoli,6,22.0,3.1,,,6,0.0,0.0,0.0,19.0,5.82,5.63,14.0,5.89,5.96,,,,,,,5.92
5739,D,Dd;Dc,De Winter,Genoa,6,22.0,3.2,,,8,13.0,5.73,5.62,0.0,0.0,0.0,29.0,5.84,5.74,,,,,,,5.84
6039,D,B;Ds;E,Cabal,Juventus,6,23.0,3.3,,,15,9.0,5.89,5.72,,,,19.0,5.82,5.66,,,,,,,5.82
6041,D,Dc,Schuurs,Torino,6,25.0,3.3,,,10,29.0,6.21,6.19,,,,9.0,6.11,6.33,,,,,,,5.95
6042,D,Dc,Lucumi',Bologna,6,26.0,3.5,,,14,33.0,5.83,5.68,,,,29.0,6.1,6.07,,,,,,,6.0
6047,D,Dd;E,Ehizibue,Udinese,6,29.0,3.1,,,8,21.0,5.79,5.93,,,,20.0,5.88,5.82,,,,,,,5.82
6426,D,E,Pedersen,Torino,6,24.0,3.3,,,12,,,,,,,23.0,5.72,5.72,,,,,,,5.86
6480,D,Dd;E,Tchatchoua,Verona,6,23.0,3.4,,,14,,,,,,,25.0,5.76,5.76,,,,,,,5.87
6533,D,Dc,Giannetti L.,Udinese,6,,,,,6,,,,,,,7.0,5.79,5.64,,,,,,,
6663,D,Dc,Circati,Parma,6,,,,,8,,,,,,,,,,,,,,,,
6664,D,B;Dd;E,Delprato,Parma,6,,,,,14,,,,,,,,,,,,,,,,
327,D,Dd;Dc,Patric,Lazio,5,31.0,3.4,,,10,17.0,6.12,6.09,21.0,5.76,5.71,19.0,6.08,6.29,21.0,5.83,5.74,23.0,5.72,5.59,6.05
1952,D,Dd;Ds;E,Zampano,Venezia,5,,,,,8,,,,,,,,,,,,,,,,
2181,D,Dc,Palomino,Cagliari,5,34.0,3.3,,,8,14.0,5.82,5.75,33.0,6.14,6.09,0.0,0.0,0.0,30.0,5.97,6.05,31.0,5.97,6.05,6.01
2593,D,Ds;E,Martin,Genoa,5,27.0,3.4,,,13,,,,,,,20.0,5.92,5.92,,,,,,,5.9
2653,D,Ds;E,Lykogiannis,Bologna,5,31.0,3.5,,,12,19.0,5.97,6.21,25.0,5.7,5.78,18.0,5.97,6.36,19.0,5.74,5.68,30.0,5.8,6.1,6.09
4385,D,E,Lazaro,Torino,5,28.0,3.3,,,8,20.0,6.0,6.05,0.0,0.0,0.0,30.0,6.02,6.07,6.0,5.83,5.83,,,,5.98
4421,D,Ds;E,Augello,Cagliari,5,30.0,3.1,,,8,37.0,5.84,6.09,34.0,5.81,5.93,32.0,5.77,5.81,16.0,6.06,6.12,37.0,5.92,6.03,5.8
4458,D,Dd;E,Candela,Venezia,5,,,,,8,,,,,,,,,,0.0,0.0,0.0,,,,
4493,D,Dc,Dawidowicz,Verona,5,29.0,3.0,,,7,22.0,5.8,5.8,15.0,5.77,5.67,26.0,5.77,5.6,10.0,5.9,5.9,27.0,5.87,5.72,5.71
4502,D,Ds;E,Gallo,Lecce,5,24.0,3.4,,,11,31.0,5.82,5.65,,,,34.0,5.94,6.0,0.0,0.0,0.0,,,,5.95
4958,D,Ds;Dc,Caldirola,Monza,5,33.0,3.1,,,8,30.0,5.93,6.03,,,,29.0,5.79,5.78,,,,22.0,5.75,5.91,5.77
5532,D,Ds;E,Bradaric,Verona,5,25.0,3.1,,,8,30.0,5.75,5.77,,,,34.0,5.72,5.74,,,,,,,5.8
5554,D,Dd;Dc,Daniliuc,Verona,5,23.0,3.2,,,8,27.0,5.69,5.5,,,,11.0,5.45,5.36,,,,,,,5.92
5555,D,Ds;E,Kamara H.,Udinese,5,30.0,3.4,,,13,,,,,,,31.0,6.06,6.1,,,,,,,5.97
5626,D,B;Dd;Ds,Guilbert,Lecce,5,,,,,8,,,,,,,,,,,,,,,,
5838,D,Dd;Ds;E,Birindelli,Monza,5,25.0,3.2,,,8,30.0,5.83,5.77,,,,32.0,6.0,5.89,,,,,,,5.89
6231,D,Dd;Ds;E,Azzi,Cagliari,5,30.0,3.1,,,7,,,,,,,22.0,5.84,5.82,,,,,,,5.81
6235,D,Dd;Ds;E,Kayode,Fiorentina,5,20.0,3.4,,,8,,,,,,,26.0,6.06,6.17,,,,,,,6.07
6245,D,Dd;Dc,Vogliacco,Genoa,5,26.0,3.1,,,4,,,,,,,15.0,6.03,5.97,,,,,,,5.97
6639,D,Ds;E,Frese,Verona,5,,,,,7,,,,,,,,,,,,,,,,
6885,D,Dd;E,Abdulhamid,Roma,5,,,,,12,,,,,,,,,,,,,,,,
6896,D,Dd;E,Van Der Brempt,Como,5,,,,,8,,,,,,,,,,,,,,,,
140,D,Dd;Ds;E,Hysaj,Lazio,4,30.0,2.9,,,6,30.0,5.97,6.05,27.0,5.63,5.69,20.0,5.7,5.65,19.0,5.87,6.05,21.0,5.93,5.93,5.72
256,D,Ds;Dc,Juan Jesus,Napoli,4,33.0,2.9,,,6,12.0,6.08,6.25,15.0,6.03,6.07,24.0,5.69,5.67,3.0,5.0,4.67,4.0,5.75,5.75,5.7
695,D,Dc,Toloi,Atalanta,4,34.0,3.4,,,9,32.0,5.98,6.05,19.0,6.0,6.05,14.0,5.89,5.68,30.0,6.18,6.35,31.0,5.94,5.97,6.01
697,D,E,Cuadrado,Atalanta,4,36.0,3.3,,,9,30.0,5.85,5.92,32.0,6.3,6.62,10.0,6.05,6.2,33.0,6.05,6.18,29.0,6.31,6.64,5.94
729,D,Dd;E,Pereira P.,Monza,4,27.0,3.1,,,8,0.0,0.0,0.0,,,,19.0,5.76,5.74,,,,34.0,5.72,5.75,5.8
2769,D,Dc,Magnani,Verona,4,29.0,3.0,,,5,24.0,5.81,5.58,14.0,5.79,5.61,30.0,6.0,5.9,6.0,5.67,5.92,23.0,6.09,5.83,5.85
4374,D,Dc,Walukiewicz,Torino,4,24.0,2.9,,,6,9.0,5.89,5.89,6.0,5.67,5.58,27.0,5.76,5.65,14.0,5.64,5.61,19.0,5.5,5.53,5.72
4401,D,Dc,Gabbia,Milan,4,,,,,9,9.0,5.5,5.39,7.0,5.57,5.36,17.0,6.06,6.26,9.0,5.83,5.78,6.0,6.0,5.83,
