Id,Role,Role_M,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,ExpectedPrice,ExpectedPriceStd
6480,D,Dd;E,Tchatchoua,Verona,6,23.0,3.4,,,14,10,1
6533,D,Dc,Giannetti L.,Udinese,6,,,,,6,4,1
6663,D,Dc,Circati,Parma,6,,,,,8,6,1
6664,D,B;Dd;E,Delprato,Parma,6,,,,,14,10,1
327,D,Dd;Dc,Patric,Lazio,5,31.0,3.4,,,10,7,1
1952,D,Dd;Ds;E,Zampano,Venezia,5,,,,,8,6,1
2181,D,Dc,Palomino,Cagliari,5,34.0,3.3,,,8,6,1
2593,D,Ds;E,Martin,Genoa,5,27.0,3.4,,,13,9,1
2653,D,Ds;E,Lykogiannis,Bologna,5,31.0,3.5,,,12,9,1
4385,D,E,Lazaro,Torino,5,28.0,3.3,,,8,6,1
4421,D,Ds;E,Augello,Cagliari,5,30.0,3.1,,,8,6,1
4458,D,Dd;E,Candela,Venezia,5,,,,,8,6,1
4493,D,Dc,Dawidowicz,Verona,5,29.0,3.0,,,7,5,1
4502,D,Ds;E,Gallo,Lecce,5,24.0,3.4,,,11,8,1
4958,D,Ds;Dc,Caldirola,Monza,5,33.0,3.1,,,8,6,1
5532,D,Ds;E,Bradaric,Verona,5,25.0,3.1,,,8,6,1
5554,D,Dd;Dc,Daniliuc,Verona,5,23.0,3.2,,,8,6,1
5555,D,Ds;E,Kamara H.,Udinese,5,30.0,3.4,,,13,9,1
5626,D,B;Dd;Ds,Guilbert,Lecce,5,,,,,8,6,1
5838,D,Dd;Ds;E,Birindelli,Monza,5,25.0,3.2,,,8,6,1
6231,D,Dd;Ds;E,Azzi,Cagliari,5,30.0,3.1,,,7,5,1
6235,D,Dd;Ds;E,Kayode,Fiorentina,5,20.0,3.4,,,8,6,1
6245,D,Dd;Dc,Vogliacco,Genoa,5,26.0,3.1,,,4,2,1
6639,D,Ds;E,Frese,Verona,5,,,,,7,5,1
6885,D,Dd;E,Abdulhamid,Roma,5,,,,,12,9,1
6896,D,Dd;E,Van Der Brempt,Como,5,,,,,8,6,1
140,D,Dd;Ds;E,Hysaj,Lazio,4,30.0,2.9,,,6,4,1
256,D,Ds;Dc,Juan Jesus,Napoli,4,33.0,2.9,,,6,4,1
695,D,Dc,Toloi,Atalanta,4,34.0,3.4,,,9,6,1
697,D,E,Cuadrado,Atalanta,4,36.0,3.3,,,9,6,1
729,D,Dd;E,Pereira P.,Monza,4,27.0,3.1,,,8,6,1
2769,D,Dc,Magnani,Verona,4,29.0,3.0,,,5,3,1
4374,D,Dc,Walukiewicz,Torino,4,24.0,2.9,,,6,4,1
4401,D,Dc,Gabbia,Milan,4,,,,,9,6,1
4657,D,Dd;E,Celik,Roma,4,27.0,3.5,,,12,9,1
4925,D,Ds;Dc,Carboni A.,Monza,4,23.0,3.3,,,8,6,1
4976,D,Dd;Dc,Kalulu,Juventus,4,24.0,3.4,,,12,9,1
5327,D,Dc,Osorio,Parma,4,,,,,6,4,1
5480,D,Dd;E,Ebuehi,Empoli,4,29.0,3.2,,,6,4,1
5481,D,E,Mazzocchi,Napoli,4,29.0,3.2,,,12,9,1
5484,D,Dc,Svoboda,Venezia,4,,,,,6,4,1
5764,D,Dc,Coppola D.,Verona,4,21.0,3.2,,,8,6,1
5833,D,Dc,Gila,Lazio,4,24.0,3.3,,,11,8,1
6217,D,Dc,Bisseck,Inter,4,24.0,3.4,,,11,8,1
6464,D,Dc,Wieteska,Cagliari,4,27.0,3.0,,,4,2,1
6485,D,Dc,Kristensen T.,Udinese,4,22.0,3.1,,,8,6,1
6672,D,Dc,Idzes,Venezia,4,,,,,9,6,1
6673,D,B;Ds;E,Sverko,Venezia,4,,,,,7,5,1
6802,D,B;Dd;E,Savona,Juventus,4,,,,,10,7,1
6814,D,Dd;E,Norton-Cuffy,Genoa,4,,,,,5,3,1
6890,D,Dc,Moreno M.,Fiorentina,4,,,,,8,6,1
142,D,E,Mario Rui,Napoli,3,33.0,3.0,,,6,4,1
253,D,B;Dd;Ds,D'Ambrosio,Monza,3,36.0,3.0,,,5,3,1
487,D,Dd;E,De Silvestri,Bologna,3,36.0,2.9,,,5,3,1
581,D,Dd;E,Faraoni,Verona,3,33.0,2.9,,,6,4,1
2728,D,Ds;E,Pellegrini Lu.,Lazio,3,25.0,3.0,,,6,4,1
4263,D,Dc,Kabasele,Udinese,3,33.0,3.1,,,4,2,1
5307,D,Dc,Valenti,Parma,3,,,,,5,3,1
5353,D,Dc,Balogh,Parma,3,,,,,1,1,1
5447,D,Dc,Altare,Venezia,3,,,,,8,6,1
5804,D,Ds;E,Cacace,Empoli,3,24.0,2.9,,,5,3,1
5900,D,Dc,Toure' I.s.,Udinese,3,,,,,5,3,1
6055,D,Dc,Thiaw,Milan,3,23.0,3.0,,,10,7,1
6211,D,Ds;E,Zemura,Udinese,3,25.0,3.0,,,4,2,1
6438,D,Dd;Dc,Hatzidiakos,Cagliari,3,27.0,3.1,,,4,2,1
6632,D,Dc,Gaspar K.,Lecce,3,,,,,12,9,1
6647,D,Ds;E,Dahl,Roma,3,,,,,8,6,1
6654,D,Dd;E,Iovine,Como,3,,,,,7,5,1
6665,D,Dd;Ds;E,Coulibaly W.,Parma,3,,,,,14,10,1
6806,D,Dd;Ds;Dc,Pelmard,Lecce,3,,,,,7,5,1
6874,D,Dc,Palacios T.,Inter,3,,,,,6,4,1
6892,D,Dd;Dc,Schingtienne,Venezia,3,,,,,6,4,1
6893,D,Dc,Kempf,Como,3,,,,,6,4,1
134,D,Ds;Dc,Barba,Como,2,,,,,3,2,1
418,D,Dc,Goldaniga,Como,2,31.0,3.0,,,4,2,1
2192,D,Dc,Bonifazi,Lecce,2,28.0,3.0,,,4,2,1
4386,D,Ds;E,Sala M.,Como,2,,,,,6,4,1
5533,D,Dd;Dc,Djalo',Juventus,2,,,,,4,2,1
5701,D,Dc,Obert,Cagliari,2,22.0,2.9,,,3,2,1
5856,D,Dd;E,Sambia,Empoli,2,28.0,3.0,,,3,2,1
6149,D,Ds;E,Carboni F.,Venezia,2,21.0,3.1,,,4,2,1
6284,D,Dc,Okou,Verona,2,,,,,3,2,1
6495,D,Dc,Comuzzo,Fiorentina,2,,,,,10,7,1
6681,D,Dd;E,Sagrado,Venezia,2,,,,,7,5,1
6826,D,E,Dembele' A.,Torino,2,,,,,3,2,1
6883,D,Dc,Jean,Lecce,2,,,,,3,2,1
6887,D,Dc,Leoni,Parma,2,,,,,3,2,1
358,D,Dd;Ds;E,De Sciglio,Empoli,1,32.0,3.3,,,10,7,1
2203,D,Ds;E,Di Chiara,Parma,1,,,,,1,1,1
5695,D,Ds;E,Haps,Venezia,1,31.0,2.5,,,1,1,1
5812,D,Dd;E,Terracciano F.,Milan,1,21.0,2.6,,,1,1,1
5994,D,Ds;Dc,Ebosse,Udinese,1,25.0,2.7,,,1,1,1
6244,D,Dc,Matturro,Genoa,1,20.0,2.6,,,1,1,1
6407,D,Dd;Ds;E,Corazza,Bologna,1,25.0,2.6,,,1,1,1
6474,D,Dc,Sazonov,Empoli,1,22.0,3.1,,,6,4,1
6537,D,Dd;Dc,Goglichidze,Empoli,1,,,,,1,1,1
6551,D,Dc,Ilic M.,Bologna,1,,,,,1,1,1
6631,D,Dc,Ghilardi,Verona,1,,,,,1,1,1
6637,D,Dd;E,Kovacik,Como,1,,,,,1,1,1
6649,D,Dd;E,Sangare' B.,Roma,1,,,,,1,1,1
6660,D,Dc,Marcandalli,Genoa,1,,,,,1,1,1
6803,D,Ds;E,Rouhi,Juventus,1,,,,,1,1,1
6809,D,Dc,Marianucci,Empoli,1,,,,,1,1,1
2423,C,T;A,Pulisic,Milan,30,26.0,5.0,,,180,97,1
2194,C,M;C,Calhanoglu,Inter,28,30.0,5.0,,,163,88,1
5685,C,T,Koopmeiners,Juventus,28,26.0,5.0,,,160,86,1
632,C,W;A,Zaccagni,Lazio,27,29.0,4.6,,,155,84,1
536,C,W,Politano,Napoli,23,31.0,4.2,,,70,39,1
5878,C,T,Colpani,Fiorentina,22,25.0,4.4,,,89,49,1
530,C,C;T,Pellegrini Lo.,Roma,21,28.0,4.4,,,73,41,1
1870,C,C,Barella,Inter,21,27.0,4.3,,,75,42,1
2167,C,W,Orsolini,Bologna,21,27.0,4.4,,,90,50,1
5393,C,W;A,Man,Parma,21,,,,,107,59,1
4911,C,C,Douglas Luiz,Juventus,20,,,,,66,37,1
6831,C,W;A,Neres,Napoli,20,,,,,77,43,1
2848,C,C;T,Frattesi,Inter,18,25.0,4.4,,,62,35,1
4199,C,C;T,Loftus-Cheek,Milan,18,28.0,4.1,,,51,29,1
5119,C,T,Samardzic,Atalanta,17,22.0,4.1,,,53,30,1
5858,C,C;T,Ferguson,Bologna,17,25.0,4.1,,,42,24,1
4777,C,M;C,McTominay,Napoli,16,,,,,57,32,1
2529,C,C,Mkhitaryan,Inter,15,35.0,3.9,,,39,23,1
5792,C,M;C,Ederson D.s.,Atalanta,15,25.0,4.0,,,55,31,1
2077,C,C;T,Pasalic,Atalanta,14,29.0,4.2,,,52,30,1
5687,C,T,Vlasic,Torino,14,27.0,3.8,,,48,28,1
6666,C,C;T,Bernabe',Parma,14,,,,,45,26,1
5688,C,W;T,Harroui,Verona,13,26.0,3.9,,,34,20,1
6206,C,C;T,Fabbian,Bologna,13,21.0,4.1,,,43,25,1
6486,C,W;T,Suslov,Verona,13,22.0,3.8,,,37,22,1
2766,C,T;A,Zaniolo,Atalanta,12,,,,,30,18,1
4486,C,W,Strefezza,Como,12,27.0,3.5,,,32,19,1
5559,C,W;T,Da Cunha,Como,12,,,,,32,19,1
5791,C,E;M,Frendrup,Genoa,12,23.0,3.6,,,27,17,1
6224,C,C,Reijnders,Milan,12,26.0,3.7,,,30,18,1
236,C,W,Lazovic,Verona,11,34.0,3.5,,,23,14,1
2741,C,M;C,Pessina,Monza,11,27.0,3.7,,,36,21,1
4427,C,C;T,Malinovskyi,Genoa,11,31.0,3.7,,,26,16,1
6884,C,W;A,Conceicao,Juventus,11,,,,,24,15,1
152,C,C;T,Zielinski,Inter,10,30.0,3.6,,,26,16,1
788,C,M;C,Freuler,Bologna,10,32.0,3.3,,,19,12,1
4186,C,C,Guendouzi,Lazio,10,25.0,3.5,,,18,12,1
4220,C,M;C,Zambo Anguissa,Napoli,10,29.0,3.2,,,19,12,1
4465,C,C;T,Fagioli,Juventus,10,23.0,3.6,,,18,12,1
4856,C,W;A,Chukwueze,Milan,10,25.0,3.7,,,35,21,1
4970,C,C;W,Messias,Genoa,10,33.0,3.6,,,24,15,1
5562,C,M;C,Thuram K.,Juventus,10,,,,,25,15,1
5564,C,W,Ndoye,Bologna,10,24.0,3.5,,,24,15,1
5784,C,C;T,Aebischer,Bologna,10,27.0,3.4,,,20,13,1
5850,C,C,Lovric,Udinese,10,26.0,3.5,,,23,14,1
6299,C,C;T,Le Fee,Roma,10,,,,,21,13,1
779,C,M;C,Cristante,Roma,9,29.0,3.5,,,20,13,1
827,C,M;C,Locatelli,Juventus,9,26.0,3.3,,,19,12,1
4287,C,M;C,Lobotka,Napoli,9,30.0,3.2,,,16,11,1
4376,C,C;T,Zurkowski,Empoli,9,,,,,23,14,1
4377,C,C;T,Castrovilli,Lazio,9,27.0,3.7,,,17,11,1
4896,C,T;A,Maldini,Monza,9,23.0,3.8,,,21,13,1
5007,C,C,Ilic,Torino,9,23.0,3.6,,,21,13,1
5823,C,T;A,Baldanzi,Roma,9,21.0,3.6,,,20,13,1
5919,C,W,Tchaouna,Lazio,9,21.0,3.5,,,16,11,1
22,C,M;C,De Roon,Atalanta,8,33.0,3.2,,,16,11,1
376,C,W;T,Verdi,Como,8,,,,,18,12,1
526,C,C,Duncan,Venezia,8,31.0,3.5,,,16,11,1
2839,C,W,Sottil,Fiorentina,8,25.0,3.5,,,19,12,1
4342,C,M;C,Duda,Verona,8,30.0,3.2,,,16,11,1
4364,C,T,Gaetano,Cagliari,8,24.0,4.0,,,40,23,1
5453,C,M;C,Ricci S.,Torino,8,23.0,3.3,,,20,13,1
5589,C,M;C,Kone' M.,Roma,8,,,,,17,11,1
6218,C,W;T;A,Oristanio,Venezia,8,22.0,3.6,,,23,14,1
6481,C,C,Payero,Udinese,8,26.0,3.3,,,13,9,1
6634,C,W,Tete Morente,Lecce,8,,,,,18,12,1
6804,C,M;C,Richardson,Fiorentina,8,,,,,16,11,1
170,C,M;C,Badelj,Genoa,7,35.0,3.1,,,9,7,1
181,C,M;C,Vecino,Lazio,7,33.0,3.5,,,15,10,1
795,C,W,El Shaarawy,Roma,7,32.0,3.5,,,19,12,1
1933,C,M;C,Mandragora,Fiorentina,7,27.0,3.4,,,16,11,1
1976,C,M;C,Mazzitelli,Como,7,29.0,3.5,,,18,12,1
2818,C,M;C,Bennacer,Milan,7,27.0,3.4,,,15,10,1
4459,C,M;C,Rovella,Lazio,7,23.0,3.2,,,11,8,1
4662,C,W,Weah,Juventus,7,24.0,3.3,,,21,13,1
4686,C,M;C,Fofana Y.,Milan,7,,,,,19,12,1
4947,C,M;C,Brescianini,Atalanta,7,24.0,3.8,,,38,22,1
4992,C,W,Gyasi,Empoli,7,30.0,3.2,,,20,13,1
5131,C,M;C,Gilmour,Napoli,7,,,,,11,8,1
6459,C,W;A,Karlsson,Bologna,7,26.0,3.4,,,10,8,1
6645,C,T,Marchwinski,Lecce,7,,,,,16,11,1
6684,C,C;T,Ekkelenkamp,Udinese,7,,,,,12,9,1
6875,C,T;A,Paz N.,Como,7,,,,,20,13,1
440,C,C;T,Viola,Cagliari,6,35.0,3.5,,,14,10,1
468,C,M;C,Paredes,Roma,6,30.0,3.3,,,16,11,1
1978,C,C;T,Sensi,Monza,6,29.0,3.7,,,16,11,1
2172,C,T,Barak,Fiorentina,6,30.0,3.3,,,14,10,1
2274,C,C;T,Valoti,Monza,6,,,,,13,9,1
4423,C,C,Hernani,Parma,6,,,,,11,8,1
4965,C,M;C,Marin,Cagliari,6,28.0,3.2,,,13,9,1
4973,C,M;C,McKennie,Juventus,6,26.0,3.3,,,12,9,1
5319,C,C,Sohm,Parma,6,,,,,13,9,1
5507,C,C,Busio,Venezia,6,,,,,15,10,1
6061,C,W;T,Oudin,Lecce,6,28.0,3.4,,,12,9,1
6112,C,W,Iling Junior,Bologna,6,21.0,3.3,,,11,8,1
6252,C,C;T,Folorunsho,Napoli,6,26.0,3.5,,,15,10,1
6592,C,W;T,Forson O.,Monza,6,,,,,13,9,1
6629,C,C;T,Dele-Bashiru,Lazio,6,,,,,20,13,1
6680,C,M;C,Karlstrom,Udinese,6,,,,,8,7,1
6815,C,W;A,Fadera,Como,6,,,,,13,9,1
6898,C,M;C,Keita M.,Parma,6,,,,,12,9,1
801,C,M;C,Gagliardini,Monza,5,30.0,3.0,,,9,7,1
4404,C,C,Thorsby,Genoa,5,28.0,3.3,,,10,8,1
4498,C,C;T,Henderson L.,Empoli,5,,,,,8,7,1
4658,C,W,Ikone',Fiorentina,5,26.0,3.3,,,13,9,1
4890,C,M;C,Tameze,Torino,5,30.0,2.9,,,9,7,1
4892,C,W,Saelemaekers,Roma,5,25.0,3.4,,,12,9,1
5295,C,C;W,Musah,Milan,5,22.0,3.2,,,10,8,1
5504,C,M;C,Coulibaly L.,Lecce,5,28.0,2.9,,,9,7,1
6010,C,C;T,Fazzini,Empoli,5,21.0,3.4,,,19,12,1
6394,C,M;C,Ramadani,Lecce,5,28.0,3.0,,,10,8,1
6458,C,M;C,Serdar,Verona,5,27.0,3.1,,,10,8,1
1871,C,M;C,Deiola,Cagliari,4,29.0,2.8,,,6,6,1
2008,C,M;C,Linetty,Torino,4,29.0,2.9,,,7,6,1
2117,C,C;T,Kastanos,Verona,4,26.0,3.2,,,7,6,1
4711,C,E;W,Kostic,Juventus,4,32.0,2.9,,,7,6,1
5290,C,M;C,Estevez,Parma,4,,,,,10,8,1
5423,C,M;C,Bove,Fiorentina,4,22.0,3.1,,,10,8,1
5425,C,C;W;T,Urbanski,Bologna,4,21.0,3.1,,,10,8,1
5457,C,C,Maleh,Empoli,4,26.0,3.0,,,8,7,1
5485,C,C;W,Bjarkason,Venezia,4,,,,,6,6,1
5719,C,M;C,Asllani,Inter,4,22.0,3.4,,,14,10,1
5813,C,C;T,Miretti,Genoa,4,21.0,3.4,,,18,12,1
5875,C,M;C,Adli,Fiorentina,4,24.0,3.2,,,13,9,1
5880,C,E;W,Ciurria,Monza,4,29.0,2.9,,,8,7,1
5992,C,M;C,Bondo,Monza,4,21.0,2.8,,,5,5,1
6020,C,C;W,Ellertsson,Venezia,4,,,,,11,8,1
6151,C,M;C,Perrone,Como,4,,,,,6,6,1
6170,C,C,Gineitis,Torino,4,20.0,3.3,,,12,9,1
6222,C,C;T,Rafia,Lecce,4,25.0,3.1,,,8,7,1
