Id,Name,DOB
6631,Ghilardi,2003-01-01
6672,Idzes,2000-07-08
4137,Diego Carlos,1993-03-15
6550,Garcia U.,1994-01-11
787,Djimsiti,1993-02-19
2640,Kolasinac,1993-06-20
6042,Lucumì,1998-04-09
5701,Obert,2002-07-12
6660,Marcandalli,2002-10-25
6814,Norton-Cuffy,2004-01-12
7012,Provstgaard,2005-05-05
5812,Terracciano F.,2003-02-08
4772,Angelino,1997-01-04
6426,Pedersen,2000-09-03
6047,Ehizibue,1999-11-30
6639,Frese,1998-04-24
6046,Hien,1999-01-04
5578,Kossounou,2001-01-04
4887,Bellanova,2000-08-17
4461,Zappa,1999-10-02
7014,Smolcic I.,2002-08-17
6013,Barbieri,2002-01-30
4378,Ranieri L.,1999-01-08
5449,Parisi,2000-09-08
5739,De Winter,2002-01-02
6039,Cabal,2001-01-08
7175,Joao Mario,2000-01-03
5620,Tavares N.,2000-01-26
5527,Zanoli,2000-01-11
2273,Caracciolo A.,1995-05-23
5010,Ismajli,1996-12-14
5555,Kamara H.,1994-07-13
5532,Bradaric,1999-12-10
7240,Siebert,2002-02-06
7352,Edmundsson,2002-08-13
7125,Idrissi R.,2004-10-02
6230,Dossena,1998-03-27
6896,Van Der Brempt,2001-04-19
7131,Floriani Mussolini,2003-03-03
5603,Pongracic,1997-01-08
513,Acerbi,1988-02-10
5831,Gatti,1998-03-03
2728,Pellegrini Lu.,1999-03-09
6990,Veiga D.,2002-01-08
4401,Gabbia,1999-10-21
5840,Olivera,1997-03-18
5307,Valenti,1999-01-14
7139,Canestrelli,2000-05-18
4374,Walukiewicz,2000-11-08
5820,Bertola,2003-03-23
5994,Ebosse,1999-03-11
697,Cuadrado,1988-05-26
7018,Nelsson,1998-10-14
7235,Troilo,2003-02-21
7274,Zè Pedro,1997-06-06
6916,Ahanor,2007-07-19
7068,Vitik,2003-01-21
612,Bianchetti,1992-03-08
7130,Folino,2002-11-19
770,Pezzella Giu.,1997-11-29
6495,Comuzzo,2005-02-20
256,Juan Jesus,1991-09-26
5481,Mazzocchi,1995-02-17
5851,Doig,2002-05-18
4385,Lazaro,1996-03-24
6992,Oyegoke,2003-01-03
7212,Heggem,1999-02-15
7255,Britschgi,2006-02-07
7268,Rodriguez Ju.,2005-05-27
6665,Coulibaly W.,1999-02-17
487,De Silvestri,1988-04-16
791,Sabelli,1991-03-31
322,De Vrij,1992-02-05
2525,Darmian,1989-12-02
327,Patric,1993-03-17
2263,Lazzari,1993-11-29
6809,Marianucci,2004-02-05
2745,Calabresi,1995-11-18
6211,Zemura,1999-11-14
6957,Valentini N.,1995-04-06
7253,Bella-Kotchap,2001-12-11
5168,Tsimikas,1996-05-12
7335,Zatterstrom,2006-02-12
6149,Carboni F.,2003-01-04
7353,Pedro Felipe,2002-06-02
2653,Lykogiannis,1994-08-01
7069,Fortini,2006-03-12
6977,Otoa,2004-11-03
294,Rugani,1994-07-29
6632,Gaspar K.,1997-02-15
6883,Jean,2000-11-25
5273,Estupinan,1998-03-04
252,Biraghi,1992-09-01
7011,Slotsager,2006-03-15
7202,Ndiaye,2002-02-13
7222,Cham,2002-12-12
7260,Ziolkowski,2005-08-10
5156,Nkounkou,1999-11-01
7312,Arizala,2006-03-26
7326,Helland,2003-01-23
2006,Lirola,1997-08-13
7356,Mlacic,2007-05-14
7377,Balbo,2006-05-10
5498,Casale,1998-05-03
418,Goldaniga,1993-01-24
1891,Ceccherini,1992-05-11
5899,Gigot,1993-09-17
140,Hysaj,1994-02-02
7164,Perez M.,2004-03-18
7182,Ndaba,2000-01-21
7140,Coppola F.,2005-03-24
2279,Romagna,1997-05-26
7156,Pieragnolo,2003-01-15
7196,Denoon,2006-01-09
6985,Candè,2000-12-28
7238,Kouadio,2006-01-16
6870,Faye,2004-02-11
7271,Odogu,2006-01-13
388,Albiol,1985-09-04
7325,Bozhinov,2005-05-12
7346,Raterink,2005-07-20
6875,Paz N.,2004-09-08
4777,McTominay,1996-12-08
7126,Baturina,2003-02-16
2194,Calhanoglu,1994-02-08
2423,Pulisic,1998-09-18
2379,Rabiot,1995-04-03
2517,De Bruyne,1991-06-28
5559,Da Cunha,2001-05-24
152,Zielinski,1994-05-20
6908,Atta,2003-03-15
2167,Orsolini,1997-01-24
2766,Zaniolo,1999-07-02
1870,Barella,1997-02-07
4973,McKennie,1998-08-28
6884,Conceicao,2002-12-14
2606,Modric,1985-09-09
1933,Mandragora,1997-06-29
6717,Konè I.,2002-03-28
5687,Vlasic,1997-10-04
6151,Perrone,2003-01-07
4970,Messias,1991-05-13
6398,Isaksen,2000-03-31
4427,Malinovskyi,1993-05-04
4892,Saelemaekers,1999-06-27
4220,Zambo Anguissa,1995-11-16
6666,Bernabè,2001-03-09
5844,Thorstvedt,1999-03-03
6844,Rowe,2003-04-30
5422,Zalewski,2002-01-23
2529,Mkhitaryan,1989-01-21
5562,Thuram K.,2001-03-26
6190,Pisilli,2004-02-19
6684,Ekkelenkamp,2000-03-26
7314,Taylor K.,2002-11-05
5792,Ederson D.S.,1999-07-07
184,Bernardeschi,1994-02-16
2765,Odgaard,1997-03-31
4364,Gaetano,2000-10-28
5036,Caqueret,2000-08-03
4486,Strefezza,1996-11-07
5800,Gudmundsson A.,1997-06-15
632,Zaccagni,1995-06-16
5504,Coulibaly L.,1996-11-06
536,Politano,1993-08-03
779,Cristante,1995-03-03
5589,Konè M.,2001-05-17
530,Pellegrini Lo.,1996-06-19
5735,Volpato,2003-11-15
5888,Casadei,2003-01-10
2077,Pasalic,1995-02-09
4404,Thorsby,1996-08-09
827,Locatelli,1998-01-08
7351,Santos A.,2004-05-03
7133,Vandeputte,1997-08-07
4465,Fagioli,2001-02-12
7070,Sucic P.,2003-09-08
333,Cataldi,1994-08-06
5674,Basic,1996-11-25
5453,Ricci S.,2001-08-21
6898,Keita M.,1996-07-13
5651,Harrison,1996-08-14
4947,Brescianini,1998-08-24
4896,Maldini,2001-10-11
6252,Folorunsho,1998-02-07
4686,Fofana Y.,1999-01-10
4199,Loftus-Cheek,1996-01-23
4287,Lobotka,1994-11-25
6831,Neres,1997-03-03
2334,Leris,1997-05-23
1976,Mazzitelli,1995-11-15
22,De Roon,1991-03-29
5119,Samardzic,2002-02-24
6054,Moro N.,1998-03-12
6294,Ndour,2004-08-01
5791,Frendrup,2001-02-24
4711,Kostic,1992-11-01
795,El Shaarawy,1992-10-27
5823,Baldanzi,2003-03-23
6680,Karlstrom,1995-05-02
5761,Zhegrova,1999-03-31
7318,Gandelman,1997-08-20
788,Freuler,1992-04-15
5298,Pobega,1998-07-15
4870,Adopo,2000-07-19
6020,Ellertsson,2002-03-11
5301,Luis Henrique,2001-12-14
6394,Ramadani,1999-02-12
6271,El Aynaoui,2001-09-21
6815,Fadera,2002-05-09
2839,Sottil,1999-02-19
7223,Vergara,2002-09-16
2528,Matic,1988-08-01
4349,Nicolussi Caviglia,2000-08-15
6424,Prati,2003-12-28
6640,Felici,2001-04-17
5813,Miretti,2003-08-03
6015,Berisha M.,2004-03-29
6549,Pierotti,1998-01-14
5131,Gilmour,2001-06-11
6170,Gineitis,2004-04-15
7028,Bernede,1999-03-06
7198,Piotrowski,1998-10-04
7208,Miller L.,2002-03-15
7209,Sorensen O.,2002-05-16
6005,Ilkhan,2004-05-15
6274,Diouf,2003-09-08
4479,Elmas,1999-09-24
801,Gagliardini,1994-03-20
6024,Sulemana I.,2002-05-22
5784,Aebischer,1997-01-06
6206,Fabbian,2003-01-14
1871,Deiola,1994-08-01
6629,Dele-Bashiru,2001-05-29
5998,Zerbin,1999-03-03
7138,Ordonez C.,2004-03-11
5318,Tramoni M.,2001-03-28
6246,Lipani,2005-07-30
6458,Serdar,1997-08-05
5858,Ferguson,1999-08-24
27,Grassi,1995-03-07
6917,Masini,2001-12-08
5457,Maleh,1995-08-22
5992,Bondo,2003-02-28
5295,Musah,2002-11-29
5290,Estevez,1996-01-15
7146,Tourè I.,1998-11-14
6593,Akinsanmiro,2005-11-25
6481,Payero,1998-09-11
5286,Akpa Akpro,1992-03-03
7322,Ngom,2000-06-21
7331,Loyola,2001-11-09
7341,Amorim,2000-06-18
2848,Frattesi,1999-09-22
5685,Koopmeiners,1998-02-28
5319,Sohm,2001-05-20
7145,Piccinini G.,2001-09-19
5688,Harroui,1998-01-13
6486,Suslov,2002-06-07
7203,Jashari,2002-07-30
6218,Oristanio,2002-09-28
6575,Zaragoza,2001-09-09
4284,Sergi Roberto,1992-02-07
6010,Fazzini,2003-08-28
6191,Belahyane,2004-06-01
6984,Ondrejka,2002-09-19
7147,Hojholt,2001-04-16
7150,Vural,2006-01-01
7157,Iannoni,2002-01-29
6212,Zarraga,1997-05-24
5850,Lovric,1997-03-28
7254,Lorran,2006-07-04
6112,Iling Junior,2003-10-04
7132,Collocolo,1999-05-29
5788,Sabiri,1996-08-27
6980,Venturino,2006-01-30
4459,Rovella,2001-11-25
5872,Helgason,1999-01-14
7149,Marin M.,1998-04-20
6219,Boloca,1998-11-30
6889,Anjorin,2001-11-23
5540,Niasse,1997-01-10
7248,Gorter,2000-07-05
7010,Al-Musrati,1996-04-06
4677,Cornet,1996-01-22
7036,Bakola,2006-07-19
7165,Liteta,2006-02-14
6645,Marchwinski,2002-03-09
4890,Tameze,1993-12-22
5007,Ilic,2001-03-17
6677,Adzic,2006-05-13
5610,Vranckx,2002-06-29
7246,Sala A.,2006-01-20
5561,Stengs,1998-12-18
6538,Onana J.,2000-01-08
7276,Cremaschi,2004-08-25
7319,Fofana Sa.,2000-11-12
7345,Przyborek,2006-01-01
7357,Lahdo,2002-12-30
2764,Martinez L.,1997-08-22
4871,Thuram,1997-08-06
6052,Hojlund,2003-02-04
7017,Douvikas,1999-08-02
6434,Yildiz,2005-05-04
531,Berardi,1994-08-01
5585,Malen,1999-01-19
6435,Krstovic,2000-11-09
5637,Davis K.,1998-03-22
2137,Scamacca,1999-01-01
505,Bonazzoli,1997-05-21
7071,Esposito F.P.,2005-06-28
2061,Simeone,1995-07-05
4463,Esposito Se.,2002-07-02
6060,Laurientè,1998-12-04
6669,Bonny,2003-10-25
4510,Leao,1999-06-10
5734,Soulè,2003-04-15
7023,Pellegrino M.,2001-11-09
4728,Nkunku,1997-11-14
6572,Castro S.,2004-04-09
5995,De Ketelaere,2001-03-10
2097,Kean,2000-02-28
2841,Vlahovic,2000-01-28
2489,Pedro,1987-07-28
5455,Moreo,1993-06-30
2038,Pinamonti,1999-05-19
6646,Adams C.,1996-07-13
2499,Vardy,1987-01-11
7129,Rodriguez Je.,2005-04-25
6001,Banda,2001-01-29
4371,Raspadori,2000-02-18
2531,Lukaku,1993-05-13
4923,Colombo,2002-03-08
6556,Noslin,1999-07-08
6552,Orban G.,2002-07-17
6164,Vitinha O.,2000-03-15
5544,David,2000-01-14
309,Dybala,1993-11-15
7162,Giovane,2003-01-27
7199,Kilicsoy,2005-08-15
4436,Cambiaghi,2000-12-28
6967,Diao,2005-10-19
5506,Ekuban,1994-03-23
7008,Gimenez,2001-04-18
6243,Borrelli,2000-01-08
5500,Cancellieri,2002-02-12
6439,Cheddira,1998-01-22
2832,Boga,1997-01-03
5515,Okereke,1997-08-28
6822,Ekhator,2006-03-26
6675,Dovbyk,1997-06-21
6365,Ferguson E.,2004-10-19
5336,Nzola,1996-08-18
2678,Fullkrug,1993-02-09
7316,Durosinmi,2002-02-02
7347,Bowie,2002-04-16
5918,Sulemana K.,2002-02-15
4359,Piccoli,2001-01-27
7313,Ratkov,2003-05-26
608,Zapata D.,1991-04-01
7252,Stulic,2001-09-08
6380,Solomon,1999-07-24
6981,Vaz,2003-04-24
7001,N'Dri,2000-01-12
7249,Buksa,1996-07-12
6643,Dallinga,2000-08-03
7127,Addai,2005-05-02
5672,Dia,1996-11-16
6827,Njie,2005-05-19
7342,Elphege,2000-01-10
7128,Kuhn,2000-01-01
5471,Djuric,1990-05-22
6836,Meister,2003-05-02
441,Belotti,1993-12-20
7272,Gueye,2002-12-08
7374,Mendy P.,2006-05-12
479,Sanabria,1996-03-04
6159,Sarr A.,2004-06-26
6630,Mosquera,1999-02-22
6314,Openda,2000-02-16
7344,Stojilkovic,1998-05-05
7349,Kulenovic,1999-12-04
6895,Dominguez B.,2002-05-14
247,Pavoletti,1988-11-26
6207,Almqvist,1999-09-08
6519,Camarda,2008-03-10
7161,Bayo V.,1997-08-05
313,Morata,1992-10-23
7239,Braschi,2006-03-24
6555,Moumbagna,2000-01-10
7338,Albarracin,2006-01-15
7381,Mikolajewski,2005-04-05
2012,Milik,1994-02-28
7158,Moro L.,1998-11-07
7183,Aboukhlal,2000-02-18
7213,Frigan,2003-02-11
7262,Balentien,2005-02-01
7277,Arena A.,2000-01-15
7309,Isaac,2002-01-10
7317,Trepy,2006-01-08
7368,Vermesan,2006-09-14
7388,Mosconi,2007-03-12
