Id,Role,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,Pg23_24,Mv23_24,Mf23_24,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,ExpectedMf
6225,C,El Azzouzi,Bologna,4,28,3.3,,3,7,9.0,6.11,6.83,,,,,,,,,,,,,6.4
6054,C,Moro N.,Bologna,3,21,3.4,Aebischer,3,8,17.0,6.03,6.21,25.0,6.04,6.3,,,,,,,,,,6.41
5298,C,Pobega,Bologna,2,25,3.5,,2,10,7.0,5.93,5.93,14.0,5.96,6.25,31.0,6.26,6.5,20.0,6.1,6.85,,,,6.44
6839,C,Byar,Bologna,1,19,2.8,,1,1,,,,,,,,,,,,,,,,6.36
6643,A,Dallinga,Bologna,22,24,3.7,Castro S.,4,94,,,,,,,,,,,,,,,,7.07
4436,A,Cambiaghi,Bologna,12,24,3.1,Karlsson,4,20,37.0,6.14,6.2,25.0,6.24,6.9,,,,,,,0.0,0.0,0.0,6.47
2765,A,Odgaard,Bologna,10,25,3.3,,3,13,9.0,6.22,7.0,,,,,,,,,,,,,6.99
6572,A,Castro S.,Bologna,8,20,3.2,Dallinga,3,47,5.0,6.0,6.5,,,,,,,,,,,,,6.29
574,P,Scuffet,Cagliari,8,28,3.3,,5,29,31.0,6.13,4.31,,,,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,4.37
4929,P,Ciocci,Cagliari,1,22,3.4,,1,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.05
6650,P,Sherri,Cagliari,1,26,3.4,,1,1,,,,,,,,,,,,,,,,5.07
393,D,Luperto,Cagliari,8,28,3.6,,5,14,38.0,6.0,6.05,36.0,5.93,6.01,22.0,5.75,5.61,22.0,5.41,5.3,7.0,5.64,5.5,6.04
4210,D,Mina,Cagliari,8,30,4.0,Palomino,4,13,15.0,6.03,6.27,,,,,,,,,,,,,6.4
4433,D,Zortea,Cagliari,7,25,4.0,,5,16,19.0,6.16,6.63,15.0,6.0,6.1,23.0,5.78,5.96,,,,,,,6.42
4461,D,Zappa,Cagliari,6,24,3.3,,5,10,37.0,5.8,5.91,,,,21.0,5.74,5.64,31.0,5.85,5.94,,,,5.92
2181,D,Palomino,Cagliari,5,34,3.7,Mina,3,8,0.0,0.0,0.0,14.0,5.82,5.75,33.0,6.14,6.09,31.0,5.97,6.05,30.0,5.97,6.05,6.34
4421,D,Augello,Cagliari,5,30,3.1,Viola,4,8,32.0,5.77,5.81,37.0,5.84,6.09,34.0,5.81,5.93,37.0,5.92,6.03,16.0,6.06,6.12,5.81
6231,D,Azzi,Cagliari,4,30,3.1,,3,7,22.0,5.84,5.82,,,,,,,,,,,,,5.82
6464,D,Wieteska,Cagliari,4,27,3.6,,2,4,15.0,5.57,5.5,,,,,,,,,,,,,6.38
6438,D,Hatzidiakos,Cagliari,3,27,3.6,,1,4,13.0,5.5,5.46,,,,,,,,,,,,,6.38
5701,D,Obert,Cagliari,2,22,3.5,,1,3,13.0,5.35,5.31,,,,4.0,5.88,5.88,,,,,,,6.35
4965,C,Marin,Cagliari,7,28,3.2,,5,13,28.0,5.98,6.02,32.0,5.98,6.2,36.0,5.9,5.96,37.0,5.99,6.28,,,,6.03
440,C,Viola,Cagliari,6,35,3.7,Augello,3,14,25.0,6.2,6.7,,,,3.0,5.67,5.67,17.0,6.24,7.15,,,,6.6
6640,C,Felici,Cagliari,5,23,3.5,Deiola,4,12,,,,,,,,,,,,,,,,6.44
1871,C,Deiola,Cagliari,4,29,2.7,Felici,3,6,22.0,5.7,5.59,,,,31.0,5.82,6.16,20.0,5.65,5.58,10.0,5.8,6.05,5.63
6232,C,Makoumbou,Cagliari,4,26,2.8,,2,7,32.0,5.62,5.61,,,,,,,,,,,,,5.67
6424,C,Prati,Cagliari,4,21,3.2,,2,12,26.0,5.92,6.0,,,,,,,,,,,,,6.05
1987,C,Jankto,Cagliari,3,28,3.3,,2,6,16.0,5.84,6.16,,,,0.0,0.0,0.0,33.0,5.91,6.47,30.0,6.0,6.2,6.4
4870,C,Adopo,Cagliari,3,24,3.1,,1,3,4.0,5.75,6.0,4.0,5.88,5.75,,,,,,,,,,6.41
4359,A,Piccoli,Cagliari,13,23,3.4,Lapadula,4,50,32.0,6.02,6.41,16.0,5.84,6.22,8.0,5.69,6.06,14.0,6.07,7.14,1.0,5.5,5.5,6.72
5297,A,Luvumbo,Cagliari,12,22,3.6,,5,38,30.0,6.27,6.75,,,,,,,0.0,0.0,0.0,,,,7.05
1939,A,Lapadula,Cagliari,9,34,3.1,Piccoli,3,11,21.0,5.88,6.24,,,,,,,37.0,5.91,6.5,24.0,6.1,7.27,6.67
247,A,Pavoletti,Cagliari,4,36,2.8,,2,5,14.0,6.25,7.04,,,,28.0,5.89,6.32,22.0,5.98,6.5,1.0,5.5,5.5,6.3
6598,A,Mutandwa,Cagliari,1,21,2.7,,1,2,,,,,,,,,,,,,,,,6.38
761,P,Audero,Como,9,27,4.0,Reina,4,27,4.0,6.0,5.25,25.0,6.3,4.88,29.0,6.12,4.53,37.0,6.38,5.11,36.0,6.03,4.29,5.13
387,P,Reina,Como,2,41,3.7,Audero,3,12,,,,,,,15.0,5.97,4.0,29.0,6.12,4.69,1.0,6.5,8.5,4.98
2809,P,Vigorito,Como,1,34,3.4,,1,1,,,,,,,,,,,,,5.0,5.9,4.0,5.04
2602,D,Varane,Como,9,31,4.0,,5,17,,,,,,,,,,,,,,,,6.41
4284,D,Sergi Roberto,Como,9,32,4.1,,5,18,,,,,,,,,,,,,,,,6.4
6230,D,Dossena,Como,8,26,3.5,,5,14,35.0,5.84,5.94,,,,,,,,,,,,,5.95
5435,D,Moreno Alb.,Como,7,32,4.0,Iovine,5,17,,,,,,,,,,,,,,,,6.4
418,D,Goldaniga,Como,3,31,3.6,,2,4,13.0,5.65,5.54,,,,11.0,5.64,5.5,24.0,5.85,5.73,11.0,5.59,5.68,6.36
6654,D,Iovine,Como,3,33,3.7,Moreno Alb.,4,7,,,,,,,,,,,,,,,,6.35
134,D,Barba,Como,2,31,3.5,,2,3,,,,,,,,,,32.0,5.7,5.58,,,,6.35
4386,D,Sala M.,Como,2,25,3.7,,3,6,,,,,,,,,,,,,0.0,0.0,0.0,6.38
6637,D,Kovacik,Como,1,23,3.2,,2,1,,,,,,,,,,,,,,,,6.35
4486,C,Strefezza,Como,12,27,3.8,,5,32,19.0,5.82,5.87,34.0,6.31,6.97,,,,,,,32.0,5.91,5.92,6.49
5559,C,Da Cunha,Como,12,23,3.8,Paz N.,3,32,,,,,,,,,,,,,,,,6.5
376,C,Verdi,Como,9,32,3.6,Cutrone,3,18,0.0,0.0,0.0,22.0,6.07,6.7,17.0,6.24,7.21,32.0,5.75,5.91,32.0,5.89,6.2,6.36
1976,C,Mazzitelli,Como,8,29,3.6,,4,18,29.0,6.1,6.52,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,6.48
6875,C,Paz N.,Como,7,20,3.6,,4,20,,,,,,,,,,,,,,,,6.43
6815,C,Fadera,Como,6,23,3.5,,3,13,,,,,,,,,,,,,,,,6.44
556,C,Baselli,Como,4,32,3.3,,3,7,,,,,,,12.0,5.88,5.92,10.0,6.0,5.9,16.0,5.94,5.97,6.33
6151,C,Perrone,Como,4,21,3.3,,3,6,,,,,,,,,,,,,,,,6.4
6676,C,Engelhardt,Como,4,23,3.4,,3,8,,,,,,,,,,,,,,,,6.43
6656,C,Braunoder,Como,3,22,3.4,,3,8,,,,,,,,,,,,,,,,6.42
5725,C,Kone B.,Como,1,24,2.9,,1,1,,,,,,,1.0,5.0,5.0,,,,,,,6.41
6162,C,Abildgaard,Como,1,28,3.0,,1,2,,,,9.0,5.61,5.5,,,,,,,,,,6.39
441,A,Belotti,Como,17,31,3.6,,5,75,24.0,6.21,7.1,22.0,5.8,5.75,22.0,6.2,7.32,34.0,6.43,7.6,35.0,6.16,7.41,6.94
2155,A,Cutrone,Como,9,26,3.4,Verdi,4,16,,,,,,,24.0,5.88,6.23,7.0,5.71,5.71,18.0,5.94,6.64,7.08
6657,A,Gabrielloni,Como,3,30,3.1,,2,2,,,,,,,,,,,,,,,,7.08
306,A,Cerri,Como,2,28,3.0,,2,1,11.0,5.86,6.05,,,,0.0,0.0,0.0,10.0,5.85,6.15,15.0,5.73,6.07,7.12
6648,A,Jasim,Como,1,20,2.4,,1,1,,,,,,,,,,,,,,,,6.18
6125,P,Vasquez D.,Empoli,6,26,3.9,,5,14,,,,0.0,0.0,0.0,,,,,,,,,,5.1
673,P,Perisan,Empoli,1,27,3.4,,1,1,1.0,5.0,3.0,7.0,6.21,4.93,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.07
4351,P,Brancolini,Empoli,1,23,3.4,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.06
6651,P,Chiorra,Empoli,1,23,3.4,,1,1,,,,,,,,,,,,,,,,5.06
5010,D,Ismajli,Empoli,7,28,3.0,,5,9,25.0,5.72,5.68,25.0,6.0,5.86,17.0,5.5,5.06,16.0,5.78,5.94,,,,5.7
770,D,Pezzella Giu.,Empoli,5,27,3.8,,5,7,15.0,5.63,5.5,14.0,5.71,5.71,16.0,5.97,6.0,24.0,6.04,6.19,19.0,5.71,5.66,6.39
4374,D,Walukiewicz,Empoli,5,24,2.9,Stojanovic,4,6,27.0,5.76,5.65,9.0,5.89,5.89,6.0,5.67,5.58,19.0,5.5,5.53,14.0,5.64,5.61,5.69
5718,D,Viti,Empoli,5,22,3.7,,5,6,14.0,5.89,5.96,0.0,0.0,0.0,19.0,5.82,5.63,,,,,,,6.37
5450,D,Stojanovic,Empoli,4,29,3.6,Walukiewicz,3,5,0.0,0.0,0.0,23.0,5.7,5.67,33.0,5.83,5.79,,,,,,,6.37
5480,D,Ebuehi,Empoli,4,29,3.7,,3,6,15.0,5.8,5.87,25.0,6.06,6.46,17.0,5.59,5.5,,,,,,,6.38
5804,D,Cacace,Empoli,3,24,2.9,,2,5,28.0,5.73,5.66,10.0,5.65,5.6,8.0,5.81,5.75,,,,,,,5.69
6537,D,Goglichidze,Empoli,1,20,3.1,,1,1,0.0,0.0,0.0,,,,,,,,,,,,,6.33
6809,D,Marianucci,Empoli,1,20,3.1,,1,1,,,,,,,,,,,,,,,,6.33
4376,C,Zurkowski,Empoli,10,27,3.7,,5,23,13.0,6.04,6.81,10.0,5.7,5.75,33.0,6.17,6.7,,,,0.0,0.0,0.0,6.46
4498,C,Henderson L.,Empoli,5,28,3.4,,3,8,0.0,0.0,0.0,23.0,5.83,5.67,34.0,6.0,6.21,0.0,0.0,0.0,3.0,6.0,5.83,6.41
4992,C,Gyasi,Empoli,5,30,3.1,,5,20,29.0,5.66,5.69,35.0,5.77,5.8,36.0,5.78,6.08,36.0,5.96,6.4,,,,5.72
5457,C,Maleh,Empoli,4,26,2.8,,3,8,34.0,5.79,5.66,21.0,5.81,5.76,23.0,6.07,6.26,,,,,,,5.71
6010,C,Fazzini,Empoli,4,21,3.3,,4,19,25.0,5.92,5.96,15.0,5.9,5.8,,,,,,,,,,6.02
27,C,Grassi,Empoli,3,29,2.7,,4,4,26.0,5.92,5.77,20.0,5.92,5.85,28.0,5.95,5.88,20.0,5.72,5.55,14.0,5.93,6.0,5.79
2161,C,Haas,Empoli,2,28,3.1,,2,3,1.0,5.5,5.0,24.0,5.88,5.96,16.0,5.88,5.91,,,,,,,6.39
6203,C,Belardinelli,Empoli,1,23,2.9,,1,1,0.0,0.0,0.0,,,,,,,,,,,,,6.41
4923,A,Colombo,Empoli,12,22,3.5,,4,55,23.0,5.89,6.39,26.0,5.94,6.37,,,,2.0,5.75,5.75,0.0,0.0,0.0,6.73
2819,A,Caputo,Empoli,5,37,2.9,,3,15,20.0,5.7,6.15,36.0,5.88,6.44,38.0,6.0,6.88,24.0,6.12,7.65,34.0,6.32,8.31,6.13
4463,A,Esposito Se.,Empoli,4,22,3.1,,4,15,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,3.0,5.83,6.67,6.58
6119,A,Solbakken,Empoli,4,26,3.4,,3,12,1.0,5.5,5.5,9.0,5.94,6.39,,,,,,,,,,7.07
6395,A,Shpendi S.,Empoli,3,21,2.8,,1,5,9.0,5.72,5.72,,,,,,,,,,,,,6.38
2521,P,De Gea,Fiorentina,11,33,4.1,Terracciano,4,39,,,,,,,,,,,,,,,,5.13
2815,P,Terracciano,Fiorentina,11,34,4.0,De Gea,3,20,33.0,6.27,5.26,29.0,6.0,4.78,32.0,5.97,4.72,4.0,6.25,6.0,7.0,6.36,5.64,5.21
6184,P,Martinelli T.,Fiorentina,1,18,3.3,,1,1,1.0,6.5,4.5,0.0,0.0,0.0,,,,,,,,,,5.02
6403,P,Christensen O.,Fiorentina,1,25,3.4,,1,1,4.0,5.5,3.25,,,,,,,,,,,,,5.06
5323,D,Martinez Quarta,Fiorentina,11,28,4.2,,5,32,28.0,6.04,6.41,27.0,5.94,5.98,18.0,5.81,5.75,19.0,5.87,5.87,,,,6.38
5885,D,Dodo',Fiorentina,9,26,4.2,,5,25,6.0,5.75,5.75,33.0,5.88,5.98,,,,,,,,,,6.46
252,D,Biraghi,Fiorentina,8,32,3.8,Ranieri,4,30,28.0,5.96,6.11,32.0,6.05,6.19,37.0,5.96,6.11,35.0,5.91,6.03,23.0,5.98,6.43,6.09
5449,D,Parisi,Fiorentina,8,24,4.1,Ranieri,4,20,21.0,5.69,5.64,33.0,6.14,6.14,23.0,5.91,5.85,,,,,,,6.43
5603,D,Pongracic,Fiorentina,8,27,3.4,,5,20,36.0,5.94,5.81,9.0,6.0,5.89,,,,,,,,,,5.83
4378,D,Ranieri L.,Fiorentina,7,25,3.4,Biraghi,3,15,25.0,5.86,5.88,8.0,6.25,6.19,27.0,5.7,5.65,,,,3.0,5.5,5.17,5.9
6235,D,Kayode,Fiorentina,5,20,3.6,,3,8,26.0,6.06,6.17,,,,,,,,,,,,,6.17
6495,D,Comuzzo,Fiorentina,2,19,3.8,,1,10,2.0,6.0,5.75,,,,,,,,,,,,,6.35
5878,C,Colpani,Fiorentina,23,25,4.4,,5,89,38.0,6.2,6.92,24.0,6.1,6.62,,,,,,,,,,6.9
2839,C,Sottil,Fiorentina,9,25,3.6,,3,19,18.0,5.97,6.44,16.0,5.97,6.06,22.0,6.0,6.41,19.0,6.03,6.32,12.0,5.83,5.75,6.46
1933,C,Mandragora,Fiorentina,8,27,3.4,,5,16,30.0,5.95,6.28,28.0,6.04,6.25,18.0,6.14,6.06,26.0,5.87,6.15,25.0,5.8,5.84,6.27
4522,C,Amrabat,Fiorentina,8,28,3.6,,4,15,0.0,0.0,0.0,28.0,6.0,5.84,18.0,6.06,6.08,29.0,5.9,5.78,34.0,6.29,6.21,6.43
6804,C,Richardson,Fiorentina,8,22,3.6,,3,16,,,,,,,,,,,,,,,,6.44
2172,C,Barak,Fiorentina,6,30,3.5,,3,14,13.0,6.08,6.62,28.0,5.82,5.96,29.0,6.31,7.48,34.0,6.09,6.69,22.0,5.89,6.18,6.39
4658,C,Ikone',Fiorentina,5,26,3.3,,3,13,26.0,5.79,6.08,30.0,6.03,6.43,15.0,5.87,6.1,,,,,,,6.1
5516,C,Bianco,Fiorentina,3,22,3.0,,1,2,,,,3.0,6.17,6.0,0.0,0.0,0.0,,,,,,,6.4
5800,A,Gudmundsson A.,Fiorentina,26,27,4.2,,5,170,35.0,6.47,7.64,,,,11.0,5.68,5.82,,,,,,,7.69
2097,A,Kean,Fiorentina,20,24,3.8,Beltran L.,4,100,14.0,6.0,5.93,23.0,5.89,6.52,25.0,5.96,6.56,,,,0.0,0.0,0.0,7.09
6409,A,Beltran L.,Fiorentina,11,23,3.5,Kean,3,34,30.0,6.12,6.65,,,,,,,,,,,,,6.92
2762,A,Kouame',Fiorentina,4,27,3.4,,3,13,20.0,5.95,6.3,28.0,6.11,6.62,0.0,0.0,0.0,23.0,5.7,5.83,18.0,6.31,7.44,7.13
610,P,Gollini,Genoa,10,29,4.1,,5,38,7.0,6.0,4.86,7.0,6.07,5.21,,,,25.0,6.1,5.26,33.0,6.15,4.83,5.15
188,P,Leali,Genoa,1,31,3.4,,1,1,2.0,6.5,5.25,,,,,,,,,,,,,5.06
219,P,Sommariva,Genoa,1,27,3.4,,1,1,0.0,0.0,0.0,,,,,,,,,,,,,5.07
5514,D,Vasquez,Genoa,9,26,3.8,,5,16,35.0,6.16,6.19,23.0,5.78,5.76,28.0,5.89,5.88,,,,,,,6.17
2285,D,Bani,Genoa,7,31,3.6,,4,14,27.0,6.02,6.07,,,,17.0,6.0,5.97,25.0,5.68,5.48,27.0,5.96,6.19,6.05
791,D,Sabelli,Genoa,6,31,3.2,,3,8,31.0,5.92,5.87,,,,7.0,5.71,5.5,,,,36.0,5.89,5.85,5.86
5527,D,Zanoli,Genoa,6,24,3.8,,4,9,18.0,5.83,5.75,20.0,6.0,6.32,6.0,5.92,5.75,,,,,,,6.39
5739,D,De Winter,Genoa,6,22,3.1,,5,8,29.0,5.84,5.74,13.0,5.73,5.62,0.0,0.0,0.0,,,,,,,5.77
2593,D,Martin,Genoa,5,27,4.0,,4,13,20.0,5.92,5.92,,,,,,,,,,,,,6.41
6245,D,Vogliacco,Genoa,4,26,3.6,,3,4,15.0,6.03,5.97,,,,,,,,,,,,,6.38
6814,D,Norton-Cuffy,Genoa,4,20,3.6,,2,5,,,,,,,,,,,,,,,,6.34
6244,D,Matturro,Genoa,1,20,3.1,,1,1,3.0,5.5,4.83,,,,,,,,,,,,,6.33
6660,D,Marcandalli,Genoa,1,22,3.2,,1,1,,,,,,,,,,,,,,,,6.35
4427,C,Malinovskyi,Genoa,11,31,3.8,,5,26,23.0,6.22,6.63,12.0,6.0,6.38,29.0,6.26,6.88,32.0,6.39,7.44,32.0,6.27,6.91,6.57
5791,C,Frendrup,Genoa,11,23,3.7,,5,27,37.0,6.23,6.42,,,,10.0,5.8,5.75,,,,,,,6.43
4970,C,Messias,Genoa,9,33,3.6,,3,24,17.0,6.18,6.35,25.0,6.0,6.62,26.0,6.0,6.62,36.0,6.24,6.99,,,,6.35
170,C,Badelj,Genoa,7,35,3.2,,5,9,32.0,6.05,6.14,,,,34.0,5.76,5.79,29.0,6.14,6.22,20.0,5.65,5.72,6.09
4404,C,Thorsby,Genoa,5,28,3.4,,3,10,21.0,5.98,6.31,,,,35.0,5.86,6.0,33.0,6.03,6.18,23.0,5.74,5.63,6.41
5813,C,Miretti,Genoa,4,21,3.6,,3,18,20.0,5.78,5.9,25.0,5.96,6.02,4.0,6.0,6.0,,,,,,,6.44
5798,C,Bohinen,Genoa,1,25,2.9,,1,1,14.0,5.86,5.82,19.0,5.82,5.82,10.0,5.95,5.8,,,,,,,6.41
2038,A,Pinamonti,Genoa,18,25,3.7,,5,97,37.0,5.92,6.7,32.0,5.67,6.06,36.0,6.15,7.21,4.0,6.25,7.0,30.0,5.7,6.12,6.92
6164,A,Vitinha O.,Genoa,12,24,3.7,,5,79,6.0,6.42,7.33,,,,,,,,,,,,,7.04
5506,A,Ekuban,Genoa,9,31,3.0,,3,10,23.0,6.09,6.65,,,,29.0,5.71,5.84,,,,,,,6.5
6565,A,Ankeye,Genoa,1,22,2.6,,1,1,2.0,5.75,5.75,,,,,,,,,,,,,6.55
6822,A,Ekhator,Genoa,1,18,2.2,,1,1,,,,,,,,,,,,,,,,5.77
2428,P,Sommer,Inter,18,35,4.7,,5,111,34.0,6.12,5.63,,,,,,,,,,,,,5.58
5116,P,Martinez Jo.,Inter,2,26,3.5,,2,4,36.0,6.14,4.97,,,,,,,,,,,,,4.96
1926,P,Di Gennaro,Inter,1,31,3.4,,1,1,1.0,6.5,6.5,,,,,,,,,,,,,5.06
254,D,Dimarco,Inter,24,27,5.0,,5,101,30.0,6.48,7.18,33.0,6.21,6.7,25.0,6.12,6.34,35.0,6.14,6.57,8.0,6.0,5.94,7.13
2120,D,Bastoni,Inter,16,25,4.4,,5,50,28.0,6.32,6.45,29.0,6.12,6.14,31.0,6.21,6.31,33.0,6.11,6.08,25.0,5.98,6.04,6.44
5513,D,Dumfries,Inter,16,28,4.4,Darmian,4,45,30.0,6.1,6.53,34.0,5.91,6.0,32.0,6.22,6.77,,,,,,,6.49
